kol,coin,giris,cikis,R,pnl,neden,anahtar
squeeze,TRX,2023-04-21 20:00:00+00:00,2023-04-22 01:00:00+00:00,-1.1492667558058638,-3.916885090661099,sl,squeeze:TRX
squeeze,XLM,2023-04-21 20:00:00+00:00,2023-04-22 14:00:00+00:00,-1.0742017119648517,-5.714753107653011,sl,squeeze:XLM
squeeze,XRP,2023-04-20 16:00:00+00:00,2023-04-22 16:00:00+00:00,-0.026554334809317112,-0.14126906118556704,sure,squeeze:XRP
squeeze,DOGE,2023-04-21 19:00:00+00:00,2023-04-23 19:00:00+00:00,0.3407234110763131,1.8126485469259856,sure,squeeze:DOGE
squeeze,TRX,2023-04-25 14:00:00+00:00,2023-04-25 20:00:00+00:00,-1.2349512439205064,-2.6739614614510816,sl,squeeze:TRX
squeeze,XRP,2023-04-25 20:00:00+00:00,2023-04-26 19:00:00+00:00,-1.0893180377136222,-5.795171960636471,sl,squeeze:XRP
squeeze,XRP,2023-04-27 21:00:00+00:00,2023-04-29 21:00:00+00:00,1.2064206666361101,6.418157946504106,sure,squeeze:XRP
bb,LTC,2023-04-29 13:00:00+00:00,2023-04-30 20:00:00+00:00,1.5774782846788424,8.392184474491442,tp,bb:LTC
bb,LTC,2023-04-30 20:00:00+00:00,2023-05-01 01:00:00+00:00,-1.0762334887400018,-5.72556216009681,sl,bb:LTC
squeeze,XRP,2023-04-30 23:00:00+00:00,2023-05-01 19:00:00+00:00,2.3625871296969683,8.746685335257125,tp,squeeze:XRP
squeeze,TRX,2023-05-01 06:00:00+00:00,2023-05-02 02:00:00+00:00,-1.1414578650991298,-4.105025563729495,sl,squeeze:TRX
squeeze,XRP,2023-05-03 08:00:00+00:00,2023-05-05 08:00:00+00:00,-0.09860014949556156,-0.3847041122715197,sure,squeeze:XRP
squeeze,DOGE,2023-05-05 20:00:00+00:00,2023-05-06 08:00:00+00:00,-1.1349515327699577,-4.278411713134182,sl,squeeze:DOGE
bb,LTC,2023-05-06 08:00:00+00:00,2023-05-06 13:00:00+00:00,-1.0793401810884213,-5.742089763390402,sl,bb:LTC
bb,LTC,2023-05-06 13:00:00+00:00,2023-05-06 14:00:00+00:00,-1.0668470021673073,-5.675626051530076,sl,bb:LTC
bb,LTC,2023-05-07 20:00:00+00:00,2023-05-08 01:00:00+00:00,1.5820171127907898,8.416331040047002,tp,bb:LTC
squeeze,DOGE,2023-05-08 01:00:00+00:00,2023-05-08 18:00:00+00:00,2.411828626908225,12.830928295151757,tp,squeeze:DOGE
squeeze,XRP,2023-05-11 08:00:00+00:00,2023-05-12 04:00:00+00:00,-1.0997196629581074,-5.610276538674218,sl,squeeze:XRP
squeeze,TRX,2023-05-11 15:00:00+00:00,2023-05-12 11:00:00+00:00,-1.1618028756154908,-3.65282857705211,sl,squeeze:TRX
bb,LTC,2023-05-14 06:00:00+00:00,2023-05-14 15:00:00+00:00,-1.0931624782838378,-5.815624384470017,sl,bb:LTC
bb,LTC,2023-05-14 15:00:00+00:00,2023-05-15 03:00:00+00:00,-1.0800627490833887,-5.745933825123628,sl,bb:LTC
