ts,open,high,low,close,volume
2023-04-07 20:00:00+00:00,77.97,78.16,77.71,77.82,175641.0
2023-04-07 21:00:00+00:00,77.82,78.05,77.71,77.73,18583.0
2023-04-07 22:00:00+00:00,77.73,78.1,77.47,77.9,61672.0
2023-04-07 23:00:00+00:00,77.9,78.42,77.9,78.27,17286.0
2023-04-08 00:00:00+00:00,78.27,78.27,77.49,77.56,5936.0
2023-04-08 01:00:00+00:00,77.56,77.91,77.33,77.68,35327.0
2023-04-08 02:00:00+00:00,77.68,77.82,77.54,77.58,44287.0
2023-04-08 03:00:00+00:00,77.58,77.95,77.57,77.81,8951.0
2023-04-08 04:00:00+00:00,77.81,77.81,77.21,77.37,19932.0
2023-04-08 05:00:00+00:00,77.37,78.01,77.3,77.99,7454.0
2023-04-08 06:00:00+00:00,77.99,78.64,77.98,78.5,64686.0
2023-04-08 07:00:00+00:00,78.5,78.7,78.45,78.57,15773.0
2023-04-08 08:00:00+00:00,78.57,78.87,78.52,78.55,47066.0
2023-04-08 09:00:00+00:00,78.55,78.69,78.22,78.22,49551.0
2023-04-08 10:00:00+00:00,78.22,78.23,77.71,77.73,22245.0
2023-04-08 11:00:00+00:00,77.73,77.82,77.53,77.54,39296.0
2023-04-08 12:00:00+00:00,77.54,77.82,77.54,77.67,18602.0
2023-04-08 13:00:00+00:00,77.67,77.67,77.42,77.5,35422.0
2023-04-08 14:00:00+00:00,77.5,77.57,77.41,77.44,21009.0
2023-04-08 15:00:00+00:00,77.44,77.51,77.36,77.46,41204.0
2023-04-08 16:00:00+00:00,77.46,77.48,77.36,77.47,30190.0
2023-04-08 17:00:00+00:00,77.47,77.76,76.77,76.96,152973.0
2023-04-08 18:00:00+00:00,76.96,77.09,76.28,76.5,474854.0
2023-04-08 19:00:00+00:00,76.5,76.71,76.21,76.55,794621.0
2023-04-08 20:00:00+00:00,76.55,76.61,76.35,76.39,238753.0
2023-04-08 21:00:00+00:00,76.39,76.46,76.22,76.4,198425.0
2023-04-08 22:00:00+00:00,76.4,76.43,75.8,76.25,70808.0
2023-04-08 23:00:00+00:00,76.25,76.48,76.13,76.29,27375.0
2023-04-09 00:00:00+00:00,76.29,77.08,76.19,76.89,45796.0
2023-04-09 01:00:00+00:00,76.89,77.49,76.86,77.23,152538.0
2023-04-09 02:00:00+00:00,77.23,77.39,77.01,77.01,122530.0
2023-04-09 03:00:00+00:00,77.01,77.08,76.65,76.66,57580.0
2023-04-09 04:00:00+00:00,76.66,76.78,76.62,76.66,10460.0
2023-04-09 05:00:00+00:00,76.66,76.69,76.15,76.2,30508.0
2023-04-09 06:00:00+00:00,76.2,76.2,74.87,74.94,303799.0
