ts,open,high,low,close,volume
2026-02-19 20:00:00+00:00,0.2727,0.2731,0.2716,0.2726,2076036.0
2026-02-19 21:00:00+00:00,0.2726,0.2733,0.2718,0.2718,3182377.0
2026-02-19 22:00:00+00:00,0.2718,0.2727,0.2705,0.2723,2711473.0
2026-02-19 23:00:00+00:00,0.2723,0.273,0.272,0.2729,4266327.0
2026-02-20 00:00:00+00:00,0.2729,0.275,0.2721,0.274,11803148.0
2026-02-20 01:00:00+00:00,0.274,0.2745,0.2732,0.2738,3241009.0
2026-02-20 02:00:00+00:00,0.2738,0.2746,0.2735,0.2735,1979304.0
2026-02-20 03:00:00+00:00,0.2735,0.2749,0.2732,0.2736,3248373.0
2026-02-20 04:00:00+00:00,0.2736,0.2737,0.2708,0.2722,6366104.0
2026-02-20 05:00:00+00:00,0.2722,0.2759,0.2716,0.2745,6839677.0
2026-02-20 06:00:00+00:00,0.2745,0.2749,0.2735,0.2744,3275951.0
2026-02-20 07:00:00+00:00,0.2744,0.2747,0.2732,0.2734,3047107.0
2026-02-20 08:00:00+00:00,0.2734,0.2749,0.2732,0.2746,1728529.0
2026-02-20 09:00:00+00:00,0.2746,0.2775,0.2744,0.2771,6724172.0
2026-02-20 10:00:00+00:00,0.2771,0.2797,0.2771,0.2784,11019451.0
2026-02-20 11:00:00+00:00,0.2784,0.2785,0.2762,0.2764,12726555.0
2026-02-20 12:00:00+00:00,0.2764,0.2782,0.2759,0.2768,3510320.0
2026-02-20 13:00:00+00:00,0.2768,0.2768,0.2696,0.2718,13698465.0
2026-02-20 14:00:00+00:00,0.2718,0.2789,0.2715,0.2772,23184666.0
2026-02-20 15:00:00+00:00,0.2772,0.2888,0.2772,0.2887,32120590.0
2026-02-20 16:00:00+00:00,0.2887,0.2937,0.2856,0.2881,23439740.0
2026-02-20 17:00:00+00:00,0.2881,0.2884,0.2799,0.2856,23904007.0
2026-02-20 18:00:00+00:00,0.2856,0.2856,0.2811,0.2832,11190737.0
2026-02-20 19:00:00+00:00,0.2832,0.2842,0.2817,0.2828,4370037.0
2026-02-20 20:00:00+00:00,0.2828,0.2846,0.2821,0.284,4322284.0
2026-02-20 21:00:00+00:00,0.284,0.2847,0.283,0.2845,4560620.0
2026-02-20 22:00:00+00:00,0.2845,0.2855,0.2831,0.2855,9134730.0
2026-02-20 23:00:00+00:00,0.2855,0.2859,0.2841,0.2846,1792247.0
2026-02-21 00:00:00+00:00,0.2846,0.2852,0.2823,0.2827,4500186.0
2026-02-21 01:00:00+00:00,0.2827,0.2836,0.282,0.2832,1862847.0
2026-02-21 02:00:00+00:00,0.2832,0.2846,0.2824,0.2833,4666442.0
2026-02-21 03:00:00+00:00,0.2833,0.2839,0.2819,0.2829,3400418.0
2026-02-21 04:00:00+00:00,0.2829,0.2833,0.2819,0.2832,1584913.0
2026-02-21 05:00:00+00:00,0.2832,0.2842,0.2831,0.2833,8583113.0
2026-02-21 06:00:00+00:00,0.2833,0.2833,0.2807,0.2815,4417789.0
2026-02-21 07:00:00+00:00,0.2815,0.2819,0.2807,0.2813,5819879.0
2026-02-21 08:00:00+00:00,0.2813,0.2839,0.281,0.2837,5494925.0
2026-02-21 09:00:00+00:00,0.2837,0.2863,0.2832,0.284,8540243.0
2026-02-21 10:00:00+00:00,0.284,0.2849,0.2832,0.2837,2681125.0
2026-02-21 11:00:00+00:00,0.2837,0.2847,0.283,0.2833,3475461.0
2026-02-21 12:00:00+00:00,0.2833,0.2835,0.2814,0.2825,9226425.0
2026-02-21 13:00:00+00:00,0.2825,0.2833,0.2818,0.2832,5438677.0
2026-02-21 14:00:00+00:00,0.2832,0.2848,0.2825,0.2825,9457441.0
2026-02-21 15:00:00+00:00,0.2825,0.2834,0.2818,0.2823,6389411.0
2026-02-21 16:00:00+00:00,0.2823,0.2826,0.2793,0.2804,11639009.0
2026-02-21 17:00:00+00:00,0.2804,0.2809,0.2793,0.2807,6608204.0
2026-02-21 18:00:00+00:00,0.2807,0.2821,0.2807,0.2816,6486343.0
2026-02-21 19:00:00+00:00,0.2816,0.2818,0.2799,0.28,2251942.0
2026-02-21 20:00:00+00:00,0.28,0.2812,0.2789,0.279,4022918.0
2026-02-21 21:00:00+00:00,0.279,0.281,0.279,0.2809,2527068.0
2026-02-21 22:00:00+00:00,0.2809,0.2812,0.2798,0.28,4829014.0
