ts,open,high,low,close,volume
2023-04-07 20:00:00+00:00,0.2167,0.2175,0.2162,0.2168,116869.0
2023-04-07 21:00:00+00:00,0.2168,0.2174,0.2164,0.217,60470.0
2023-04-07 22:00:00+00:00,0.217,0.2193,0.217,0.219,473116.0
2023-04-07 23:00:00+00:00,0.219,0.2198,0.2186,0.2188,193094.0
2023-04-08 00:00:00+00:00,0.2188,0.2191,0.217,0.2174,398731.0
2023-04-08 01:00:00+00:00,0.2174,0.2175,0.216,0.2167,703839.0
2023-04-08 02:00:00+00:00,0.2167,0.2173,0.2162,0.2172,260280.0
2023-04-08 03:00:00+00:00,0.2172,0.2182,0.2172,0.2178,332364.0
2023-04-08 04:00:00+00:00,0.2178,0.2181,0.2171,0.2175,77090.0
2023-04-08 05:00:00+00:00,0.2175,0.2186,0.2174,0.2186,21892.0
2023-04-08 06:00:00+00:00,0.2186,0.2194,0.2184,0.2185,77604.0
2023-04-08 07:00:00+00:00,0.2185,0.2187,0.2177,0.2177,108642.0
2023-04-08 08:00:00+00:00,0.2177,0.219,0.2174,0.2176,196635.0
2023-04-08 09:00:00+00:00,0.2176,0.218,0.2173,0.2177,122891.0
2023-04-08 10:00:00+00:00,0.2177,0.218,0.2174,0.2177,124509.0
2023-04-08 11:00:00+00:00,0.2177,0.218,0.2171,0.2175,140751.0
2023-04-08 12:00:00+00:00,0.2175,0.2181,0.2172,0.2177,123445.0
2023-04-08 13:00:00+00:00,0.2177,0.22,0.2176,0.2199,302618.0
2023-04-08 14:00:00+00:00,0.2199,0.2205,0.2189,0.2194,438470.0
2023-04-08 15:00:00+00:00,0.2194,0.2204,0.2192,0.2196,405029.0
2023-04-08 16:00:00+00:00,0.2196,0.2212,0.2195,0.2196,639562.0
2023-04-08 17:00:00+00:00,0.2196,0.2201,0.218,0.2185,766008.0
2023-04-08 18:00:00+00:00,0.2185,0.2193,0.2171,0.2176,185252.0
2023-04-08 19:00:00+00:00,0.2176,0.2178,0.2166,0.2167,409481.0
2023-04-08 20:00:00+00:00,0.2167,0.2175,0.2164,0.2169,174540.0
2023-04-08 21:00:00+00:00,0.2169,0.217,0.216,0.2164,594080.0
2023-04-08 22:00:00+00:00,0.2164,0.2164,0.2139,0.2159,957704.0
2023-04-08 23:00:00+00:00,0.2159,0.217,0.2157,0.2161,168617.0
2023-04-09 00:00:00+00:00,0.2161,0.2175,0.2158,0.2168,825052.0
2023-04-09 01:00:00+00:00,0.2168,0.2174,0.2165,0.2167,174038.0
2023-04-09 02:00:00+00:00,0.2167,0.2171,0.2162,0.2162,514232.0
2023-04-09 03:00:00+00:00,0.2162,0.2162,0.2154,0.2154,390681.0
2023-04-09 04:00:00+00:00,0.2154,0.2158,0.2152,0.2155,327350.0
2023-04-09 05:00:00+00:00,0.2155,0.2164,0.2154,0.2154,246612.0
2023-04-09 06:00:00+00:00,0.2154,0.2155,0.2132,0.214,1343849.0
2023-04-09 07:00:00+00:00,0.214,0.2144,0.2131,0.2138,659456.0
2023-04-09 08:00:00+00:00,0.2138,0.2139,0.213,0.2136,352757.0
2023-04-09 09:00:00+00:00,0.2136,0.2147,0.2135,0.2139,95717.0
2023-04-09 10:00:00+00:00,0.2139,0.2141,0.213,0.2134,163765.0
2023-04-09 11:00:00+00:00,0.2134,0.2145,0.2131,0.2144,70547.0
2023-04-09 12:00:00+00:00,0.2144,0.2153,0.2142,0.2146,156491.0
2023-04-09 13:00:00+00:00,0.2146,0.215,0.2141,0.215,323454.0
2023-04-09 14:00:00+00:00,0.215,0.215,0.2133,0.2145,308554.0
2023-04-09 15:00:00+00:00,0.2145,0.2154,0.214,0.215,40713.0
2023-04-09 16:00:00+00:00,0.215,0.215,0.2138,0.214,59481.0
2023-04-09 17:00:00+00:00,0.214,0.2142,0.213,0.2137,276935.0
2023-04-09 18:00:00+00:00,0.2137,0.2151,0.2133,0.215,154280.0
2023-04-09 19:00:00+00:00,0.215,0.2168,0.2147,0.2162,788987.0
2023-04-09 20:00:00+00:00,0.2162,0.2164,0.2152,0.2161,457578.0
2023-04-09 21:00:00+00:00,0.2161,0.2184,0.2159,0.2176,302795.0
2023-04-09 22:00:00+00:00,0.2176,0.2184,0.2172,0.2175,339653.0
2023-04-09 23:00:00+00:00,0.2175,0.2179,0.2163,0.2165,146260.0
2023-04-10 00:00:00+00:00,0.2165,0.217,0.2153,0.2157,176057.0
2023-04-10 01:00:00+00:00,0.2157,0.2159,0.2129,0.2133,738629.0
2023-04-10 02:00:00+00:00,0.2133,0.2143,0.2131,0.2137,337634.0
2023-04-10 03:00:00+00:00,0.2137,0.2146,0.2133,0.2143,97468.0
2023-04-10 04:00:00+00:00,0.2143,0.2146,0.2136,0.2136,267663.0
2023-04-10 05:00:00+00:00,0.2136,0.2147,0.2133,0.2141,560361.0
2023-04-10 06:00:00+00:00,0.2141,0.2144,0.214,0.2143,224819.0
2023-04-10 07:00:00+00:00,0.2143,0.2144,0.2135,0.2139,473128.0
2023-04-10 08:00:00+00:00,0.2139,0.2153,0.2138,0.2148,567656.0
2023-04-10 09:00:00+00:00,0.2148,0.2153,0.2145,0.2149,333000.0
2023-04-10 10:00:00+00:00,0.2149,0.2159,0.2148,0.2158,164589.0
2023-04-10 11:00:00+00:00,0.2158,0.2158,0.2145,0.2147,523567.0
2023-04-10 12:00:00+00:00,0.2147,0.2148,0.2137,0.214,549645.0
2023-04-10 13:00:00+00:00,0.214,0.2144,0.2129,0.2132,206864.0
2023-04-10 14:00:00+00:00,0.2132,0.2145,0.2123,0.2143,1554877.0
2023-04-10 15:00:00+00:00,0.2143,0.2153,0.2142,0.2149,1343554.0
2023-04-10 16:00:00+00:00,0.2149,0.2168,0.2138,0.2168,1426011.0
2023-04-10 17:00:00+00:00,0.2168,0.2193,0.2165,0.2184,841161.0
2023-04-10 18:00:00+00:00,0.2184,0.2193,0.2182,0.2192,368557.0
2023-04-10 19:00:00+00:00,0.2192,0.2196,0.2177,0.2187,717066.0
2023-04-10 20:00:00+00:00,0.2187,0.2191,0.217,0.2176,321762.0
2023-04-10 21:00:00+00:00,0.2176,0.2194,0.2172,0.2193,515539.0
2023-04-10 22:00:00+00:00,0.2193,0.2204,0.2191,0.2198,735210.0
2023-04-10 23:00:00+00:00,0.2198,0.2213,0.2198,0.2211,295831.0
2023-04-11 00:00:00+00:00,0.2211,0.2213,0.2199,0.2213,496651.0
2023-04-11 01:00:00+00:00,0.2213,0.2217,0.2196,0.2213,884520.0
2023-04-11 02:00:00+00:00,0.2213,0.2215,0.2205,0.2211,185183.0
2023-04-11 03:00:00+00:00,0.2211,0.2226,0.2198,0.222,332317.0
2023-04-11 04:00:00+00:00,0.222,0.2224,0.2209,0.2212,85634.0
2023-04-11 05:00:00+00:00,0.2212,0.2224,0.2206,0.2209,313877.0
2023-04-11 06:00:00+00:00,0.2209,0.2237,0.2209,0.2229,1089228.0
2023-04-11 07:00:00+00:00,0.2229,0.2235,0.2221,0.2226,159967.0
2023-04-11 08:00:00+00:00,0.2226,0.2228,0.2208,0.2215,170271.0
2023-04-11 09:00:00+00:00,0.2215,0.2218,0.2199,0.2217,432622.0
2023-04-11 10:00:00+00:00,0.2217,0.2219,0.2209,0.221,143080.0
2023-04-11 11:00:00+00:00,0.221,0.2212,0.2202,0.2206,278892.0
2023-04-11 12:00:00+00:00,0.2206,0.2208,0.2197,0.2205,604629.0
2023-04-11 13:00:00+00:00,0.2205,0.2209,0.2199,0.2209,256049.0
2023-04-11 14:00:00+00:00,0.2209,0.2223,0.2201,0.2206,517386.0
2023-04-11 15:00:00+00:00,0.2206,0.2216,0.2204,0.2213,351785.0
2023-04-11 16:00:00+00:00,0.2213,0.2213,0.2196,0.22,525340.0
2023-04-11 17:00:00+00:00,0.22,0.2202,0.2186,0.2201,852383.0
2023-04-11 18:00:00+00:00,0.2201,0.2223,0.22,0.221,406296.0
2023-04-11 19:00:00+00:00,0.221,0.2223,0.2198,0.2201,1765880.0
2023-04-11 20:00:00+00:00,0.2201,0.221,0.2194,0.22,103939.0
2023-04-11 21:00:00+00:00,0.22,0.2201,0.2192,0.2196,147782.0
2023-04-11 22:00:00+00:00,0.2196,0.2196,0.2189,0.2194,67797.0
2023-04-11 23:00:00+00:00,0.2194,0.2201,0.2182,0.22,644997.0
2023-04-12 00:00:00+00:00,0.22,0.2206,0.2178,0.2183,127476.0
2023-04-12 01:00:00+00:00,0.2183,0.2192,0.2163,0.2166,683450.0
2023-04-12 02:00:00+00:00,0.2166,0.2166,0.2123,0.2131,2446943.0
2023-04-12 03:00:00+00:00,0.2131,0.2134,0.2114,0.2132,1762473.0
2023-04-12 04:00:00+00:00,0.2132,0.2141,0.2122,0.214,108311.0
2023-04-12 05:00:00+00:00,0.214,0.2142,0.2131,0.2137,28722.0
2023-04-12 06:00:00+00:00,0.2137,0.214,0.2125,0.2138,57278.0
2023-04-12 07:00:00+00:00,0.2138,0.2151,0.2137,0.2149,126712.0
2023-04-12 08:00:00+00:00,0.2149,0.215,0.2134,0.2134,252712.0
2023-04-12 09:00:00+00:00,0.2134,0.2141,0.2132,0.2135,187806.0
2023-04-12 10:00:00+00:00,0.2135,0.2136,0.2127,0.2131,135199.0
2023-04-12 11:00:00+00:00,0.2131,0.2134,0.2117,0.2128,563831.0
2023-04-12 12:00:00+00:00,0.2128,0.2159,0.2115,0.2142,492501.0
2023-04-12 13:00:00+00:00,0.2142,0.216,0.2133,0.2143,422285.0
2023-04-12 14:00:00+00:00,0.2143,0.2173,0.2137,0.2157,394445.0
2023-04-12 15:00:00+00:00,0.2157,0.2162,0.2131,0.2158,143232.0
2023-04-12 16:00:00+00:00,0.2158,0.2163,0.2152,0.2154,341758.0
2023-04-12 17:00:00+00:00,0.2154,0.2162,0.2152,0.216,46882.0
2023-04-12 18:00:00+00:00,0.216,0.2165,0.2139,0.2143,314378.0
2023-04-12 19:00:00+00:00,0.2143,0.2145,0.2125,0.2137,158606.0
2023-04-12 20:00:00+00:00,0.2137,0.2146,0.2134,0.2137,325674.0
2023-04-12 21:00:00+00:00,0.2137,0.2157,0.2136,0.215,96057.0
2023-04-12 22:00:00+00:00,0.215,0.2157,0.2145,0.2146,128272.0
2023-04-12 23:00:00+00:00,0.2146,0.2163,0.2146,0.2151,143672.0
2023-04-13 00:00:00+00:00,0.2151,0.2157,0.2138,0.2145,238131.0
