ts,open,high,low,close,volume
2023-04-07 20:00:00+00:00,124.21,124.21,123.79,123.82,47032.0
2023-04-07 21:00:00+00:00,123.82,124.12,123.8,123.96,2550.0
2023-04-07 22:00:00+00:00,123.96,124.67,123.82,124.61,20440.0
2023-04-07 23:00:00+00:00,124.61,124.67,124.26,124.46,24657.0
2023-04-08 00:00:00+00:00,124.46,124.52,123.92,123.93,16358.0
2023-04-08 01:00:00+00:00,123.93,124.36,123.67,123.7,18711.0
2023-04-08 02:00:00+00:00,123.7,124.19,123.64,124.19,18275.0
2023-04-08 03:00:00+00:00,124.19,124.52,124.06,124.26,7081.0
2023-04-08 04:00:00+00:00,124.26,124.47,124.06,124.26,11050.0
2023-04-08 05:00:00+00:00,124.26,124.92,124.24,124.87,32136.0
2023-04-08 06:00:00+00:00,124.87,125.11,124.78,124.91,17380.0
2023-04-08 07:00:00+00:00,124.91,124.93,124.54,124.66,9767.0
2023-04-08 08:00:00+00:00,124.66,124.97,124.4,124.45,15720.0
2023-04-08 09:00:00+00:00,124.45,124.62,124.25,124.37,4395.0
2023-04-08 10:00:00+00:00,124.37,124.47,124.25,124.47,21996.0
2023-04-08 11:00:00+00:00,124.47,124.47,123.99,124.19,6938.0
2023-04-08 12:00:00+00:00,124.19,124.31,123.92,124.05,2709.0
2023-04-08 13:00:00+00:00,124.05,124.53,124.04,124.53,2720.0
2023-04-08 14:00:00+00:00,124.53,124.7,124.37,124.42,2765.0
2023-04-08 15:00:00+00:00,124.42,124.62,124.42,124.47,3083.0
2023-04-08 16:00:00+00:00,124.47,124.62,124.26,124.26,2781.0
2023-04-08 17:00:00+00:00,124.26,124.53,123.76,123.89,14576.0
2023-04-08 18:00:00+00:00,123.89,124.32,122.74,123.25,92593.0
2023-04-08 19:00:00+00:00,123.25,123.6,122.92,123.21,20876.0
2023-04-08 20:00:00+00:00,123.21,123.7,123.21,123.39,11690.0
2023-04-08 21:00:00+00:00,123.39,123.6,123.2,123.5,4466.0
2023-04-08 22:00:00+00:00,123.5,123.5,122.85,123.31,3969.0
2023-04-08 23:00:00+00:00,123.31,123.81,123.31,123.68,2775.0
2023-04-09 00:00:00+00:00,123.68,124.23,123.55,124.15,4041.0
2023-04-09 01:00:00+00:00,124.15,124.64,124.08,124.48,6759.0
2023-04-09 02:00:00+00:00,124.48,124.68,124.34,124.58,51551.0
2023-04-09 03:00:00+00:00,124.58,124.69,124.36,124.41,18553.0
2023-04-09 04:00:00+00:00,124.41,124.65,124.14,124.65,6608.0
2023-04-09 05:00:00+00:00,124.65,124.82,124.38,124.38,32850.0
2023-04-09 06:00:00+00:00,124.38,124.38,123.31,123.57,50115.0
2023-04-09 07:00:00+00:00,123.57,123.93,123.24,123.93,8043.0
2023-04-09 08:00:00+00:00,123.93,123.98,123.59,123.85,8292.0
2023-04-09 09:00:00+00:00,123.85,124.0,123.55,123.73,6349.0
2023-04-09 10:00:00+00:00,123.73,123.99,123.6,123.87,9325.0
2023-04-09 11:00:00+00:00,123.87,124.23,123.64,124.18,3097.0
2023-04-09 12:00:00+00:00,124.18,124.8,124.18,124.48,60520.0
2023-04-09 13:00:00+00:00,124.48,124.73,124.15,124.2,40024.0
2023-04-09 14:00:00+00:00,124.2,124.55,123.72,124.0,37872.0
