ts,open,high,low,close,volume
2023-04-06 14:00:00+00:00,312.34,312.75,311.87,312.3,90148.0
2023-04-06 15:00:00+00:00,312.3,313.2,312.16,313.01,77894.0
2023-04-06 16:00:00+00:00,313.01,313.51,312.57,312.64,146688.0
2023-04-06 17:00:00+00:00,312.64,313.0,312.33,312.61,70365.0
2023-04-06 18:00:00+00:00,312.61,312.95,312.13,312.16,87619.0
2023-04-06 19:00:00+00:00,312.16,312.85,312.04,312.52,56998.0
2023-04-06 20:00:00+00:00,312.52,312.93,311.85,311.96,69445.0
2023-04-06 21:00:00+00:00,311.96,312.53,311.83,311.98,140626.0
2023-04-06 22:00:00+00:00,311.98,312.59,311.77,312.19,65096.0
2023-04-06 23:00:00+00:00,312.19,312.4,311.8,312.06,98670.0
2023-04-07 00:00:00+00:00,312.06,312.53,311.57,312.42,68362.0
2023-04-07 01:00:00+00:00,312.42,312.5,311.67,311.69,45954.0
2023-04-07 02:00:00+00:00,311.69,311.75,310.54,311.31,112133.0
2023-04-07 03:00:00+00:00,311.31,311.65,311.12,311.64,48855.0
2023-04-07 04:00:00+00:00,311.64,311.85,311.21,311.24,48874.0
2023-04-07 05:00:00+00:00,311.24,311.43,310.77,311.33,118379.0
2023-04-07 06:00:00+00:00,311.33,311.43,310.65,311.11,130480.0
2023-04-07 07:00:00+00:00,311.11,311.23,309.24,309.92,188249.0
2023-04-07 08:00:00+00:00,309.92,310.47,309.31,309.77,128102.0
2023-04-07 09:00:00+00:00,309.77,310.43,309.43,310.1,76857.0
2023-04-07 10:00:00+00:00,310.1,310.57,309.87,310.53,87225.0
2023-04-07 11:00:00+00:00,310.53,310.61,309.32,310.18,54025.0
2023-04-07 12:00:00+00:00,310.18,310.87,309.66,310.32,145687.0
2023-04-07 13:00:00+00:00,310.32,310.62,309.83,310.47,83444.0
2023-04-07 14:00:00+00:00,310.47,311.0,310.35,310.62,66731.0
2023-04-07 15:00:00+00:00,310.62,311.14,310.53,310.92,117412.0
2023-04-07 16:00:00+00:00,310.92,311.7,310.22,310.33,150936.0
2023-04-07 17:00:00+00:00,310.33,311.07,310.26,310.97,119371.0
2023-04-07 18:00:00+00:00,310.97,311.14,310.7,310.76,54405.0
2023-04-07 19:00:00+00:00,310.76,310.95,310.51,310.57,64164.0
2023-04-07 20:00:00+00:00,310.57,310.71,310.32,310.51,48393.0
2023-04-07 21:00:00+00:00,310.51,311.02,310.42,310.57,71380.0
2023-04-07 22:00:00+00:00,310.57,311.3,310.38,310.96,41755.0
2023-04-07 23:00:00+00:00,310.96,311.02,309.94,310.29,65739.0
2023-04-08 00:00:00+00:00,310.29,310.53,309.92,310.45,422228.0
2023-04-08 01:00:00+00:00,310.45,310.89,310.32,310.47,49557.0
2023-04-08 02:00:00+00:00,310.47,311.0,310.43,310.97,70419.0
2023-04-08 03:00:00+00:00,310.97,311.83,310.93,311.41,56869.0
2023-04-08 04:00:00+00:00,311.41,311.77,311.24,311.37,37898.0
2023-04-08 05:00:00+00:00,311.37,312.33,311.36,312.14,131888.0
2023-04-08 06:00:00+00:00,312.14,312.34,311.71,311.8,61586.0
2023-04-08 07:00:00+00:00,311.8,312.13,311.69,311.82,67343.0
2023-04-08 08:00:00+00:00,311.82,312.14,311.39,311.51,66958.0
2023-04-08 09:00:00+00:00,311.51,312.31,311.49,311.66,59772.0
2023-04-08 10:00:00+00:00,311.66,312.21,311.65,312.14,80752.0
2023-04-08 11:00:00+00:00,312.14,312.25,311.59,311.6,51476.0
2023-04-08 12:00:00+00:00,311.6,311.85,311.41,311.54,64844.0
2023-04-08 13:00:00+00:00,311.54,311.72,311.47,311.63,43271.0
2023-04-08 14:00:00+00:00,311.63,312.1,311.63,312.04,184566.0
2023-04-08 15:00:00+00:00,312.04,312.15,311.93,312.13,271990.0
2023-04-08 16:00:00+00:00,312.13,312.53,311.92,312.51,67608.0
2023-04-08 17:00:00+00:00,312.51,312.64,311.49,311.89,54061.0
2023-04-08 18:00:00+00:00,311.89,312.0,310.06,310.58,449692.0
2023-04-08 19:00:00+00:00,310.58,310.87,310.0,310.66,138542.0
2023-04-08 20:00:00+00:00,310.66,310.95,310.55,310.55,80606.0
2023-04-08 21:00:00+00:00,310.55,310.85,310.44,310.6,92589.0
2023-04-08 22:00:00+00:00,310.6,310.82,310.01,310.56,114871.0
2023-04-08 23:00:00+00:00,310.56,310.75,310.21,310.39,50140.0
2023-04-09 00:00:00+00:00,310.39,311.07,310.29,310.99,89081.0
2023-04-09 01:00:00+00:00,310.99,311.47,310.98,311.46,41817.0
2023-04-09 02:00:00+00:00,311.46,311.95,310.93,311.09,48403.0
2023-04-09 03:00:00+00:00,311.09,311.41,310.8,311.09,41492.0
2023-04-09 04:00:00+00:00,311.09,311.18,310.93,310.99,34984.0
2023-04-09 05:00:00+00:00,310.99,311.3,310.82,310.85,59484.0
2023-04-09 06:00:00+00:00,310.85,310.87,309.64,309.78,105207.0
2023-04-09 07:00:00+00:00,309.78,310.01,309.41,309.83,86800.0
2023-04-09 08:00:00+00:00,309.83,309.99,309.3,309.94,59541.0
2023-04-09 09:00:00+00:00,309.94,310.18,309.71,309.76,65928.0
2023-04-09 10:00:00+00:00,309.76,310.19,309.72,309.89,55103.0
2023-04-09 11:00:00+00:00,309.89,310.41,309.89,310.4,51576.0
2023-04-09 12:00:00+00:00,310.4,310.81,310.25,310.71,81519.0
2023-04-09 13:00:00+00:00,310.71,310.73,310.16,310.64,70576.0
2023-04-09 14:00:00+00:00,310.64,310.8,309.75,310.24,73459.0
2023-04-09 15:00:00+00:00,310.24,310.54,310.11,310.32,81208.0
2023-04-09 16:00:00+00:00,310.32,310.86,310.31,310.4,66802.0
2023-04-09 17:00:00+00:00,310.4,310.65,309.98,310.53,41461.0
2023-04-09 18:00:00+00:00,310.53,311.7,310.52,311.53,244127.0
2023-04-09 19:00:00+00:00,311.53,312.31,311.29,311.81,113211.0
2023-04-09 20:00:00+00:00,311.81,311.97,311.68,311.94,55465.0
2023-04-09 21:00:00+00:00,311.94,312.49,311.74,312.47,75018.0
2023-04-09 22:00:00+00:00,312.47,313.8,312.47,312.98,141259.0
2023-04-09 23:00:00+00:00,312.98,313.22,312.54,312.59,64462.0
2023-04-10 00:00:00+00:00,312.59,312.84,312.13,312.25,136106.0
2023-04-10 01:00:00+00:00,312.25,312.46,311.77,312.46,47117.0
2023-04-10 02:00:00+00:00,312.46,312.53,312.02,312.29,53220.0
2023-04-10 03:00:00+00:00,312.29,312.89,312.24,312.73,27657.0
2023-04-10 04:00:00+00:00,312.73,313.1,312.56,312.62,4392.0
2023-04-10 05:00:00+00:00,312.62,313.18,312.35,312.66,6367.0
2023-04-10 06:00:00+00:00,312.66,312.97,312.43,312.5,48272.0
2023-04-10 07:00:00+00:00,312.5,312.98,312.5,312.89,137671.0
2023-04-10 08:00:00+00:00,312.89,313.23,312.73,312.75,74261.0
2023-04-10 09:00:00+00:00,312.75,312.93,312.7,312.93,61734.0
2023-04-10 10:00:00+00:00,312.93,313.03,312.72,312.91,33907.0
2023-04-10 11:00:00+00:00,312.91,313.0,312.48,312.61,34843.0
2023-04-10 12:00:00+00:00,312.61,312.61,312.13,312.26,33428.0
2023-04-10 13:00:00+00:00,312.26,312.29,311.61,311.75,66468.0
2023-04-10 14:00:00+00:00,311.75,312.23,311.57,311.75,62341.0
2023-04-10 15:00:00+00:00,311.75,312.68,311.66,312.0,45191.0
2023-04-10 16:00:00+00:00,312.0,314.44,311.8,314.05,145921.0
2023-04-10 17:00:00+00:00,314.05,315.19,313.96,314.07,98075.0
2023-04-10 18:00:00+00:00,314.07,314.19,313.55,313.71,106633.0
2023-04-10 19:00:00+00:00,313.71,314.05,313.22,313.62,38917.0
2023-04-10 20:00:00+00:00,313.62,313.83,312.61,312.65,50725.0
2023-04-10 21:00:00+00:00,312.65,313.3,312.55,313.03,88268.0
2023-04-10 22:00:00+00:00,313.03,315.79,313.01,315.38,170100.0
2023-04-10 23:00:00+00:00,315.38,318.56,315.35,318.51,150650.0
2023-04-11 00:00:00+00:00,318.51,318.94,317.76,318.69,246679.0
2023-04-11 01:00:00+00:00,318.69,323.0,318.44,322.06,602458.0
2023-04-11 02:00:00+00:00,322.06,323.61,321.26,321.56,321285.0
2023-04-11 03:00:00+00:00,321.56,328.5,321.42,327.91,868530.0
2023-04-11 04:00:00+00:00,327.91,328.12,326.3,327.34,192064.0
2023-04-11 05:00:00+00:00,327.34,327.66,326.13,326.42,59294.0
2023-04-11 06:00:00+00:00,326.42,333.41,326.42,332.76,447072.0
2023-04-11 07:00:00+00:00,332.76,333.32,331.35,331.62,225989.0
2023-04-11 08:00:00+00:00,331.62,331.8,329.48,330.02,415123.0
2023-04-11 09:00:00+00:00,330.02,330.23,329.32,330.11,246990.0
2023-04-11 10:00:00+00:00,330.11,330.78,329.85,330.47,88246.0
2023-04-11 11:00:00+00:00,330.47,330.5,329.36,329.6,119573.0
2023-04-11 12:00:00+00:00,329.6,329.8,328.44,329.29,156047.0
2023-04-11 13:00:00+00:00,329.29,330.75,328.87,330.75,127155.0
2023-04-11 14:00:00+00:00,330.75,331.3,329.19,329.94,257113.0
2023-04-11 15:00:00+00:00,329.94,330.04,328.68,329.21,191610.0
2023-04-11 16:00:00+00:00,329.21,329.29,324.0,325.83,871844.0
2023-04-11 17:00:00+00:00,325.83,326.9,324.96,326.75,322952.0
2023-04-11 18:00:00+00:00,326.75,327.0,326.02,326.06,78628.0
2023-04-11 19:00:00+00:00,326.06,327.37,324.86,325.08,185306.0
2023-04-11 20:00:00+00:00,325.08,325.41,324.29,325.34,183389.0
2023-04-11 21:00:00+00:00,325.34,325.58,324.54,324.83,45797.0
2023-04-11 22:00:00+00:00,324.83,324.92,324.34,324.49,67763.0
2023-04-11 23:00:00+00:00,324.49,324.59,322.26,322.53,202511.0
2023-04-12 00:00:00+00:00,322.53,323.53,322.31,322.61,173803.0
2023-04-12 01:00:00+00:00,322.61,322.75,319.79,320.83,198996.0
2023-04-12 02:00:00+00:00,320.83,321.02,316.97,317.7,337356.0
2023-04-12 03:00:00+00:00,317.7,317.7,316.77,317.38,160710.0
2023-04-12 04:00:00+00:00,317.38,319.21,317.2,319.08,204404.0
2023-04-12 05:00:00+00:00,319.08,319.25,318.03,318.57,335379.0
2023-04-12 06:00:00+00:00,318.57,319.2,317.87,318.85,190379.0
2023-04-12 07:00:00+00:00,318.85,319.85,318.84,319.2,129571.0
2023-04-12 08:00:00+00:00,319.2,319.32,318.24,318.44,350369.0
2023-04-12 09:00:00+00:00,318.44,318.99,318.39,318.98,19631.0
2023-04-12 10:00:00+00:00,318.98,319.26,318.71,319.17,113798.0
2023-04-12 11:00:00+00:00,319.17,319.44,317.92,318.4,51718.0
2023-04-12 12:00:00+00:00,318.4,321.58,317.93,319.89,653050.0
2023-04-12 13:00:00+00:00,319.89,321.5,318.95,319.47,284661.0
2023-04-12 14:00:00+00:00,319.47,321.89,319.47,320.55,82798.0
2023-04-12 15:00:00+00:00,320.55,321.0,317.79,319.35,269978.0
2023-04-12 16:00:00+00:00,319.35,319.91,319.09,319.15,41473.0
2023-04-12 17:00:00+00:00,319.15,320.47,319.14,320.14,110070.0
2023-04-12 18:00:00+00:00,320.14,320.57,318.6,318.9,56499.0
2023-04-12 19:00:00+00:00,318.9,319.18,318.0,318.83,30740.0
2023-04-12 20:00:00+00:00,318.83,319.5,318.83,319.32,23336.0
2023-04-12 21:00:00+00:00,319.32,320.31,319.26,319.99,152184.0
2023-04-12 22:00:00+00:00,319.99,320.3,319.4,319.53,95202.0
2023-04-12 23:00:00+00:00,319.53,320.73,319.53,319.99,107290.0
2023-04-13 00:00:00+00:00,319.99,320.43,319.54,319.68,25511.0
2023-04-13 01:00:00+00:00,319.68,319.99,318.82,319.64,52504.0
2023-04-13 02:00:00+00:00,319.64,320.12,318.99,319.97,24220.0
2023-04-13 03:00:00+00:00,319.97,320.39,319.89,319.96,21072.0
2023-04-13 04:00:00+00:00,319.96,320.28,319.44,319.66,30004.0
2023-04-13 05:00:00+00:00,319.66,319.67,318.36,318.96,111042.0
2023-04-13 06:00:00+00:00,318.96,319.05,317.81,318.02,425406.0
2023-04-13 07:00:00+00:00,318.02,319.41,317.99,319.39,49252.0
2023-04-13 08:00:00+00:00,319.39,322.17,319.39,321.93,261413.0
2023-04-13 09:00:00+00:00,321.93,323.51,321.63,322.53,309588.0
2023-04-13 10:00:00+00:00,322.53,324.23,321.88,324.1,660375.0
2023-04-13 11:00:00+00:00,324.1,324.97,323.83,323.86,171603.0
2023-04-13 12:00:00+00:00,323.86,324.85,323.64,324.85,399144.0
2023-04-13 13:00:00+00:00,324.85,324.85,322.13,322.65,266892.0
2023-04-13 14:00:00+00:00,322.65,324.18,322.52,324.11,319964.0
2023-04-13 15:00:00+00:00,324.11,324.47,323.4,323.7,58423.0
2023-04-13 16:00:00+00:00,323.7,323.77,323.2,323.6,315265.0
2023-04-13 17:00:00+00:00,323.6,324.7,323.6,324.22,88502.0
2023-04-13 18:00:00+00:00,324.22,324.88,323.89,324.16,76256.0
2023-04-13 19:00:00+00:00,324.16,324.8,324.01,324.77,44158.0
2023-04-13 20:00:00+00:00,324.77,324.8,323.75,323.83,484821.0
2023-04-13 21:00:00+00:00,323.83,324.98,323.83,324.63,37347.0
2023-04-13 22:00:00+00:00,324.63,325.02,324.0,324.44,123884.0
2023-04-13 23:00:00+00:00,324.44,324.89,324.05,324.84,205439.0
2023-04-14 00:00:00+00:00,324.84,329.34,324.24,329.2,817725.0
2023-04-14 01:00:00+00:00,329.2,332.27,329.2,330.96,687277.0
2023-04-14 02:00:00+00:00,330.96,332.73,329.49,329.51,518087.0
2023-04-14 03:00:00+00:00,329.51,331.4,329.17,331.4,412147.0
2023-04-14 04:00:00+00:00,331.4,334.67,331.4,334.67,93024.0
2023-04-14 05:00:00+00:00,334.67,335.88,333.14,334.95,121796.0
2023-04-14 06:00:00+00:00,334.95,335.79,334.04,334.26,108675.0
2023-04-14 07:00:00+00:00,334.26,335.7,333.32,333.86,534482.0
2023-04-14 08:00:00+00:00,333.86,334.63,332.35,333.17,146751.0
2023-04-14 09:00:00+00:00,333.17,333.45,332.61,333.01,88837.0
2023-04-14 10:00:00+00:00,333.01,333.93,332.5,332.74,55780.0
2023-04-14 11:00:00+00:00,332.74,333.86,332.44,333.68,54715.0
2023-04-14 12:00:00+00:00,333.68,334.77,331.41,331.57,128683.0
2023-04-14 13:00:00+00:00,331.57,333.63,330.26,330.26,91391.0
2023-04-14 14:00:00+00:00,330.26,331.38,328.1,329.2,175345.0
2023-04-14 15:00:00+00:00,329.2,329.23,325.19,326.05,198356.0
2023-04-14 16:00:00+00:00,326.05,326.05,323.41,325.18,234721.0
2023-04-14 17:00:00+00:00,325.18,327.58,324.83,327.46,280511.0
2023-04-14 18:00:00+00:00,327.46,328.61,327.21,327.34,54753.0
2023-04-14 19:00:00+00:00,327.34,329.22,327.0,329.22,65386.0
2023-04-14 20:00:00+00:00,329.22,330.31,328.49,329.22,66429.0
2023-04-14 21:00:00+00:00,329.22,329.25,328.21,328.64,143712.0
2023-04-14 22:00:00+00:00,328.64,329.88,328.25,329.53,298512.0
2023-04-14 23:00:00+00:00,329.53,330.0,328.42,328.85,287851.0
2023-04-15 00:00:00+00:00,328.85,329.88,327.74,328.23,291659.0
2023-04-15 01:00:00+00:00,328.23,328.44,327.19,328.03,61492.0
2023-04-15 02:00:00+00:00,328.03,329.0,327.91,328.66,26836.0
2023-04-15 03:00:00+00:00,328.66,329.41,328.57,329.05,112145.0
2023-04-15 04:00:00+00:00,329.05,329.2,328.28,329.18,18736.0
2023-04-15 05:00:00+00:00,329.18,330.5,329.18,329.54,449162.0
2023-04-15 06:00:00+00:00,329.54,329.7,328.67,329.31,54252.0
2023-04-15 07:00:00+00:00,329.31,331.06,329.24,330.88,142137.0
2023-04-15 08:00:00+00:00,330.88,331.61,330.58,331.0,233226.0
2023-04-15 09:00:00+00:00,331.0,334.6,331.0,334.43,316848.0
2023-04-15 10:00:00+00:00,334.43,335.07,332.6,333.98,745963.0
2023-04-15 11:00:00+00:00,333.98,334.41,331.99,333.7,261344.0
2023-04-15 12:00:00+00:00,333.7,333.91,332.8,333.33,291212.0
2023-04-15 13:00:00+00:00,333.33,334.39,331.27,332.09,236667.0
2023-04-15 14:00:00+00:00,332.09,336.79,331.49,334.95,664427.0
2023-04-15 15:00:00+00:00,334.95,336.68,334.21,334.36,298195.0
2023-04-15 16:00:00+00:00,334.36,334.56,333.06,333.73,154004.0
2023-04-15 17:00:00+00:00,333.73,333.89,332.19,332.43,567241.0
2023-04-15 18:00:00+00:00,332.43,333.16,332.01,332.66,155561.0
2023-04-15 19:00:00+00:00,332.66,332.66,331.3,332.61,187814.0
2023-04-15 20:00:00+00:00,332.61,332.99,332.07,332.13,169450.0
2023-04-15 21:00:00+00:00,332.13,332.9,331.89,332.25,40123.0
2023-04-15 22:00:00+00:00,332.25,334.08,331.93,333.91,104754.0
2023-04-15 23:00:00+00:00,333.91,335.17,333.2,333.32,184935.0
2023-04-16 00:00:00+00:00,333.32,334.27,332.48,332.51,61128.0
2023-04-16 01:00:00+00:00,332.51,332.62,330.05,332.4,300219.0
2023-04-16 02:00:00+00:00,332.4,332.99,332.15,332.59,29532.0
2023-04-16 03:00:00+00:00,332.59,332.76,331.82,332.34,7085.0
2023-04-16 04:00:00+00:00,332.34,333.51,332.2,333.39,37419.0
2023-04-16 05:00:00+00:00,333.39,333.91,333.11,333.87,59378.0
2023-04-16 06:00:00+00:00,333.87,334.32,332.98,333.13,154209.0
2023-04-16 07:00:00+00:00,333.13,334.57,333.13,334.01,252579.0
2023-04-16 08:00:00+00:00,334.01,334.82,333.46,334.4,64371.0
2023-04-16 09:00:00+00:00,334.4,334.87,332.93,332.93,54213.0
2023-04-16 10:00:00+00:00,332.93,334.87,332.79,334.87,1042823.0
2023-04-16 11:00:00+00:00,334.87,336.87,333.93,334.75,466248.0
2023-04-16 12:00:00+00:00,334.75,340.24,334.75,339.75,649960.0
2023-04-16 13:00:00+00:00,339.75,344.58,339.75,342.24,934898.0
2023-04-16 14:00:00+00:00,342.24,348.54,342.24,346.96,979709.0
2023-04-16 15:00:00+00:00,346.96,348.44,344.66,346.3,1453584.0
2023-04-16 16:00:00+00:00,346.3,347.79,345.71,346.32,878300.0
2023-04-16 17:00:00+00:00,346.32,351.61,346.32,349.04,1236524.0
2023-04-16 18:00:00+00:00,349.04,350.01,348.13,350.01,285903.0
2023-04-16 19:00:00+00:00,350.01,350.32,347.82,347.94,410148.0
2023-04-16 20:00:00+00:00,347.94,349.9,346.48,348.71,622390.0
2023-04-16 21:00:00+00:00,348.71,349.77,348.26,349.46,315684.0
2023-04-16 22:00:00+00:00,349.46,350.21,349.29,349.94,228936.0
2023-04-16 23:00:00+00:00,349.94,350.17,347.26,347.89,471956.0
2023-04-17 00:00:00+00:00,347.89,348.39,342.5,343.68,795364.0
2023-04-17 01:00:00+00:00,343.68,346.59,342.84,345.56,422858.0
2023-04-17 02:00:00+00:00,345.56,350.6,345.5,349.82,807276.0
2023-04-17 03:00:00+00:00,349.82,350.1,348.54,349.07,199176.0
2023-04-17 04:00:00+00:00,349.07,349.25,346.42,347.33,213751.0
2023-04-17 05:00:00+00:00,347.33,347.89,346.1,347.89,153210.0
2023-04-17 06:00:00+00:00,347.89,348.69,346.54,346.54,156803.0
2023-04-17 07:00:00+00:00,346.54,348.12,343.96,344.84,265599.0
2023-04-17 08:00:00+00:00,344.84,345.92,344.26,345.41,291050.0
2023-04-17 09:00:00+00:00,345.41,345.41,342.45,342.95,448982.0
2023-04-17 10:00:00+00:00,342.95,343.03,341.47,343.03,332248.0
2023-04-17 11:00:00+00:00,343.03,343.32,339.35,342.23,842944.0
2023-04-17 12:00:00+00:00,342.23,343.38,341.18,342.97,278809.0
2023-04-17 13:00:00+00:00,342.97,342.97,340.44,342.5,689941.0
2023-04-17 14:00:00+00:00,342.5,342.87,338.56,340.07,177664.0
2023-04-17 15:00:00+00:00,340.07,340.96,337.71,339.02,312487.0
2023-04-17 16:00:00+00:00,339.02,340.4,338.43,340.07,623148.0
2023-04-17 17:00:00+00:00,340.07,340.78,339.86,340.49,72388.0
2023-04-17 18:00:00+00:00,340.49,341.85,340.36,341.69,234296.0
2023-04-17 19:00:00+00:00,341.69,343.16,341.42,342.1,147388.0
2023-04-17 20:00:00+00:00,342.1,342.8,341.5,341.5,396294.0
2023-04-17 21:00:00+00:00,341.5,341.77,339.83,339.91,171660.0
2023-04-17 22:00:00+00:00,339.91,341.37,339.91,341.1,162728.0
2023-04-17 23:00:00+00:00,341.1,341.29,339.56,340.22,126725.0
2023-04-18 00:00:00+00:00,340.22,340.71,339.44,339.55,87900.0
2023-04-18 01:00:00+00:00,339.55,340.31,337.13,340.0,236969.0
2023-04-18 02:00:00+00:00,340.0,341.0,339.24,340.51,363965.0
2023-04-18 03:00:00+00:00,340.51,340.78,339.81,340.17,122029.0
2023-04-18 04:00:00+00:00,340.17,341.14,339.75,341.13,165616.0
2023-04-18 05:00:00+00:00,341.13,345.28,341.13,344.29,626929.0
2023-04-18 06:00:00+00:00,344.29,345.95,344.29,345.87,285863.0
2023-04-18 07:00:00+00:00,345.87,345.91,344.4,344.57,579384.0
2023-04-18 08:00:00+00:00,344.57,345.47,343.42,343.67,269561.0
2023-04-18 09:00:00+00:00,343.67,344.87,343.24,344.37,445529.0
2023-04-18 10:00:00+00:00,344.37,344.57,343.55,343.84,119789.0
2023-04-18 11:00:00+00:00,343.84,346.71,343.79,346.2,1069712.0
2023-04-18 12:00:00+00:00,346.2,346.66,343.76,344.46,530387.0
2023-04-18 13:00:00+00:00,344.46,345.2,344.17,344.77,235966.0
2023-04-18 14:00:00+00:00,344.77,344.87,341.63,343.3,193503.0
2023-04-18 15:00:00+00:00,343.3,343.87,342.24,342.78,133966.0
2023-04-18 16:00:00+00:00,342.78,343.13,342.13,342.88,113194.0
2023-04-18 17:00:00+00:00,342.88,343.23,340.67,340.84,268827.0
2023-04-18 18:00:00+00:00,340.84,342.47,340.37,341.73,311603.0
2023-04-18 19:00:00+00:00,341.73,341.9,340.85,341.43,116948.0
2023-04-18 20:00:00+00:00,341.43,343.24,340.82,343.0,491472.0
2023-04-18 21:00:00+00:00,343.0,343.08,341.96,342.51,102104.0
2023-04-18 22:00:00+00:00,342.51,343.0,342.1,342.9,93457.0
2023-04-18 23:00:00+00:00,342.9,343.7,342.67,343.21,113169.0
2023-04-19 00:00:00+00:00,343.21,343.6,342.42,343.19,122809.0
2023-04-19 01:00:00+00:00,343.19,343.96,341.72,341.98,132850.0
2023-04-19 02:00:00+00:00,341.98,342.39,341.55,341.75,81631.0
2023-04-19 03:00:00+00:00,341.75,342.2,341.16,341.74,76329.0
2023-04-19 04:00:00+00:00,341.74,341.74,340.23,340.42,101018.0
2023-04-19 05:00:00+00:00,340.42,341.64,340.24,341.48,81036.0
2023-04-19 06:00:00+00:00,341.48,341.58,335.18,335.98,972525.0
2023-04-19 07:00:00+00:00,335.98,337.78,335.67,337.11,383154.0
2023-04-19 08:00:00+00:00,337.11,337.11,323.63,327.84,3004543.0
2023-04-19 09:00:00+00:00,327.84,328.98,326.82,328.37,732842.0
2023-04-19 10:00:00+00:00,328.37,328.57,326.11,327.74,150708.0
2023-04-19 11:00:00+00:00,327.74,327.84,324.75,326.98,464075.0
2023-04-19 12:00:00+00:00,326.98,326.98,325.6,326.28,573046.0
2023-04-19 13:00:00+00:00,326.28,327.51,325.6,327.45,267307.0
2023-04-19 14:00:00+00:00,327.45,329.91,327.44,328.78,203333.0
2023-04-19 15:00:00+00:00,328.77,329.15,326.09,326.69,655102.0
2023-04-19 16:00:00+00:00,326.69,328.18,326.67,327.51,212993.0
2023-04-19 17:00:00+00:00,327.51,327.55,324.7,326.38,117305.0
2023-04-19 18:00:00+00:00,326.38,326.88,324.83,325.6,77089.0
2023-04-19 19:00:00+00:00,325.6,325.92,324.37,325.12,81067.0
2023-04-19 20:00:00+00:00,325.12,325.9,324.22,325.48,307913.0
2023-04-19 21:00:00+00:00,325.48,325.52,320.82,324.79,1498623.0
2023-04-19 22:00:00+00:00,324.79,325.24,323.55,324.59,417529.0
2023-04-19 23:00:00+00:00,324.59,324.95,319.68,322.42,322202.0
