ts,open,high,low,close,volume
2023-04-06 14:00:00+00:00,6.373,6.414,6.344,6.354,456807.0
2023-04-06 15:00:00+00:00,6.354,6.384,6.347,6.354,94312.0
2023-04-06 16:00:00+00:00,6.354,6.376,6.336,6.342,235911.0
2023-04-06 17:00:00+00:00,6.342,6.368,6.337,6.344,26257.0
2023-04-06 18:00:00+00:00,6.344,6.345,6.307,6.308,176789.0
2023-04-06 19:00:00+00:00,6.308,6.34,6.299,6.328,241807.0
2023-04-06 20:00:00+00:00,6.328,6.35,6.283,6.286,141846.0
2023-04-06 21:00:00+00:00,6.286,6.325,6.28,6.3,92143.0
2023-04-06 22:00:00+00:00,6.3,6.308,6.273,6.288,266536.0
2023-04-06 23:00:00+00:00,6.288,6.305,6.261,6.276,391287.0
2023-04-07 00:00:00+00:00,6.276,6.315,6.264,6.307,183131.0
2023-04-07 01:00:00+00:00,6.307,6.315,6.274,6.275,117283.0
2023-04-07 02:00:00+00:00,6.275,6.287,6.208,6.232,370777.0
2023-04-07 03:00:00+00:00,6.232,6.245,6.213,6.233,219731.0
2023-04-07 04:00:00+00:00,6.233,6.254,6.225,6.243,279839.0
2023-04-07 05:00:00+00:00,6.243,6.244,6.186,6.207,275056.0
2023-04-07 06:00:00+00:00,6.207,6.21,6.149,6.181,404263.0
2023-04-07 07:00:00+00:00,6.181,6.194,6.138,6.157,649872.0
2023-04-07 08:00:00+00:00,6.157,6.179,6.135,6.147,463783.0
2023-04-07 09:00:00+00:00,6.147,6.162,6.131,6.161,384354.0
2023-04-07 10:00:00+00:00,6.161,6.211,6.154,6.18,390108.0
2023-04-07 11:00:00+00:00,6.18,6.181,6.137,6.159,830010.0
2023-04-07 12:00:00+00:00,6.159,6.196,6.134,6.17,405279.0
2023-04-07 13:00:00+00:00,6.17,6.193,6.155,6.184,187977.0
2023-04-07 14:00:00+00:00,6.184,6.208,6.174,6.198,376504.0
2023-04-07 15:00:00+00:00,6.198,6.215,6.192,6.199,1014196.0
2023-04-07 16:00:00+00:00,6.199,6.215,6.168,6.172,292013.0
2023-04-07 17:00:00+00:00,6.172,6.188,6.169,6.174,126428.0
2023-04-07 18:00:00+00:00,6.174,6.185,6.155,6.163,242051.0
2023-04-07 19:00:00+00:00,6.163,6.173,6.147,6.172,592756.0
2023-04-07 20:00:00+00:00,6.172,6.172,6.138,6.145,360957.0
2023-04-07 21:00:00+00:00,6.145,6.165,6.144,6.153,252138.0
2023-04-07 22:00:00+00:00,6.153,6.194,6.151,6.184,88445.0
2023-04-07 23:00:00+00:00,6.184,6.194,6.167,6.173,136704.0
2023-04-08 00:00:00+00:00,6.173,6.173,6.114,6.133,629678.0
2023-04-08 01:00:00+00:00,6.133,6.148,6.104,6.132,804068.0
2023-04-08 02:00:00+00:00,6.132,6.143,6.12,6.142,315477.0
2023-04-08 03:00:00+00:00,6.142,6.172,6.14,6.161,334848.0
2023-04-08 04:00:00+00:00,6.161,6.169,6.152,6.165,146723.0
2023-04-08 05:00:00+00:00,6.165,6.214,6.157,6.211,206374.0
2023-04-08 06:00:00+00:00,6.211,6.231,6.201,6.212,332403.0
2023-04-08 07:00:00+00:00,6.212,6.212,6.196,6.199,64496.0
2023-04-08 08:00:00+00:00,6.199,6.209,6.175,6.178,171452.0
2023-04-08 09:00:00+00:00,6.178,6.193,6.172,6.183,255797.0
2023-04-08 10:00:00+00:00,6.183,6.2,6.173,6.199,285691.0
2023-04-08 11:00:00+00:00,6.199,6.199,6.178,6.187,339810.0
2023-04-08 12:00:00+00:00,6.187,6.193,6.174,6.184,332900.0
2023-04-08 13:00:00+00:00,6.184,6.195,6.182,6.194,141162.0
2023-04-08 14:00:00+00:00,6.194,6.22,6.193,6.204,352386.0
2023-04-08 15:00:00+00:00,6.204,6.215,6.199,6.201,275618.0
2023-04-08 16:00:00+00:00,6.201,6.207,6.175,6.182,373878.0
2023-04-08 17:00:00+00:00,6.182,6.199,6.139,6.147,463766.0
2023-04-08 18:00:00+00:00,6.147,6.172,6.079,6.112,492354.0
2023-04-08 19:00:00+00:00,6.112,6.138,6.09,6.126,266886.0
2023-04-08 20:00:00+00:00,6.126,6.145,6.123,6.124,65878.0
2023-04-08 21:00:00+00:00,6.124,6.144,6.117,6.132,185145.0
2023-04-08 22:00:00+00:00,6.132,6.136,6.099,6.136,259253.0
2023-04-08 23:00:00+00:00,6.136,6.149,6.121,6.124,244500.0
2023-04-09 00:00:00+00:00,6.124,6.159,6.124,6.155,200161.0
2023-04-09 01:00:00+00:00,6.155,6.24,6.154,6.216,834933.0
2023-04-09 02:00:00+00:00,6.216,6.225,6.19,6.197,312246.0
2023-04-09 03:00:00+00:00,6.197,6.199,6.169,6.17,162348.0
2023-04-09 04:00:00+00:00,6.17,6.189,6.169,6.182,43805.0
2023-04-09 05:00:00+00:00,6.182,6.194,6.166,6.168,141331.0
2023-04-09 06:00:00+00:00,6.168,6.17,6.115,6.117,358434.0
2023-04-09 07:00:00+00:00,6.117,6.135,6.095,6.128,688059.0
2023-04-09 08:00:00+00:00,6.128,6.134,6.092,6.115,212446.0
2023-04-09 09:00:00+00:00,6.115,6.118,6.095,6.107,272167.0
2023-04-09 10:00:00+00:00,6.107,6.127,6.099,6.118,188426.0
