ts,open,high,low,close,volume
2023-04-07 20:00:00+00:00,4.961,4.978,4.936,4.941,1982325.0
2023-04-07 21:00:00+00:00,4.941,4.96,4.937,4.954,1845292.0
2023-04-07 22:00:00+00:00,4.954,5.017,4.947,5.007,1099728.0
2023-04-07 23:00:00+00:00,5.007,5.009,4.977,4.979,559445.0
2023-04-08 00:00:00+00:00,4.979,4.986,4.923,4.939,528017.0
2023-04-08 01:00:00+00:00,4.939,4.97,4.928,4.946,965415.0
2023-04-08 02:00:00+00:00,4.946,4.969,4.931,4.968,469470.0
2023-04-08 03:00:00+00:00,4.968,4.993,4.964,4.98,469319.0
2023-04-08 04:00:00+00:00,4.98,4.981,4.965,4.979,248439.0
2023-04-08 05:00:00+00:00,4.979,5.026,4.978,5.025,571615.0
2023-04-08 06:00:00+00:00,5.025,5.029,4.993,5.012,575268.0
2023-04-08 07:00:00+00:00,5.012,5.016,4.989,4.989,623973.0
2023-04-08 08:00:00+00:00,4.989,4.998,4.965,4.968,316913.0
2023-04-08 09:00:00+00:00,4.968,4.977,4.953,4.969,673217.0
2023-04-08 10:00:00+00:00,4.969,4.969,4.954,4.961,506277.0
2023-04-08 11:00:00+00:00,4.961,4.969,4.954,4.961,574931.0
2023-04-08 12:00:00+00:00,4.961,4.977,4.937,4.947,672106.0
2023-04-08 13:00:00+00:00,4.947,4.954,4.937,4.944,340623.0
2023-04-08 14:00:00+00:00,4.944,4.946,4.927,4.946,640098.0
2023-04-08 15:00:00+00:00,4.946,4.975,4.943,4.955,1473027.0
2023-04-08 16:00:00+00:00,4.955,4.967,4.948,4.952,185526.0
2023-04-08 17:00:00+00:00,4.952,4.97,4.918,4.923,341679.0
2023-04-08 18:00:00+00:00,4.923,4.95,4.871,4.897,3583266.0
2023-04-08 19:00:00+00:00,4.897,4.897,4.859,4.896,2673695.0
2023-04-08 20:00:00+00:00,4.896,4.91,4.889,4.898,2861440.0
2023-04-08 21:00:00+00:00,4.898,4.903,4.868,4.876,1201303.0
2023-04-08 22:00:00+00:00,4.876,4.892,4.853,4.887,178730.0
2023-04-08 23:00:00+00:00,4.887,4.913,4.881,4.912,642451.0
2023-04-09 00:00:00+00:00,4.912,4.922,4.9,4.903,192098.0
2023-04-09 01:00:00+00:00,4.903,4.936,4.903,4.926,172851.0
2023-04-09 02:00:00+00:00,4.926,4.942,4.91,4.913,345679.0
2023-04-09 03:00:00+00:00,4.913,4.917,4.896,4.897,141471.0
2023-04-09 04:00:00+00:00,4.897,4.926,4.893,4.916,153606.0
2023-04-09 05:00:00+00:00,4.916,4.942,4.909,4.923,1074805.0
2023-04-09 06:00:00+00:00,4.923,4.923,4.857,4.859,2558563.0
2023-04-09 07:00:00+00:00,4.859,4.872,4.841,4.854,683938.0
2023-04-09 08:00:00+00:00,4.854,4.886,4.854,4.885,378232.0
2023-04-09 09:00:00+00:00,4.885,4.91,4.882,4.894,1023552.0
2023-04-09 10:00:00+00:00,4.894,4.897,4.882,4.887,694039.0
2023-04-09 11:00:00+00:00,4.887,4.926,4.883,4.925,1360933.0
2023-04-09 12:00:00+00:00,4.925,4.935,4.919,4.922,129611.0
2023-04-09 13:00:00+00:00,4.922,4.958,4.92,4.931,458918.0
2023-04-09 14:00:00+00:00,4.931,4.946,4.88,4.9,1247589.0
2023-04-09 15:00:00+00:00,4.9,4.904,4.881,4.891,229701.0
2023-04-09 16:00:00+00:00,4.891,4.91,4.887,4.899,642513.0
2023-04-09 17:00:00+00:00,4.899,4.902,4.877,4.893,234036.0
2023-04-09 18:00:00+00:00,4.893,4.944,4.892,4.939,147922.0
2023-04-09 19:00:00+00:00,4.939,4.996,4.939,4.958,1208810.0
2023-04-09 20:00:00+00:00,4.958,5.04,4.958,5.04,1880048.0
2023-04-09 21:00:00+00:00,5.04,5.054,5.015,5.044,1070319.0
2023-04-09 22:00:00+00:00,5.044,5.082,5.044,5.053,1530113.0
2023-04-09 23:00:00+00:00,5.053,5.061,5.01,5.011,383866.0
2023-04-10 00:00:00+00:00,5.011,5.037,4.989,5.003,236165.0
2023-04-10 01:00:00+00:00,5.003,5.014,4.956,4.977,1780179.0
2023-04-10 02:00:00+00:00,4.977,5.008,4.974,4.993,219060.0
2023-04-10 03:00:00+00:00,4.993,5.047,4.989,5.031,432259.0
2023-04-10 04:00:00+00:00,5.031,5.044,5.016,5.018,316513.0
2023-04-10 05:00:00+00:00,5.018,5.037,5.004,5.01,348499.0
2023-04-10 06:00:00+00:00,5.01,5.018,5.003,5.003,582556.0
2023-04-10 07:00:00+00:00,5.003,5.008,4.97,4.977,1522244.0
2023-04-10 08:00:00+00:00,4.977,5.0,4.977,4.979,397017.0
2023-04-10 09:00:00+00:00,4.979,4.996,4.976,4.988,431373.0
2023-04-10 10:00:00+00:00,4.988,5.01,4.983,4.994,577726.0
2023-04-10 11:00:00+00:00,4.994,5.009,4.994,4.998,153928.0
2023-04-10 12:00:00+00:00,4.998,5.027,4.995,4.997,185028.0
2023-04-10 13:00:00+00:00,4.997,5.004,4.953,4.961,1224371.0
2023-04-10 14:00:00+00:00,4.961,4.994,4.954,4.987,414652.0
2023-04-10 15:00:00+00:00,4.987,5.024,4.985,5.009,1176480.0
2023-04-10 16:00:00+00:00,5.009,5.098,4.986,5.079,2225802.0
2023-04-10 17:00:00+00:00,5.079,5.129,5.062,5.087,8722920.0
2023-04-10 18:00:00+00:00,5.087,5.123,5.085,5.12,2646415.0
2023-04-10 19:00:00+00:00,5.12,5.142,5.086,5.102,8829607.0
2023-04-10 20:00:00+00:00,5.102,5.118,5.088,5.104,2469762.0
2023-04-10 21:00:00+00:00,5.104,5.189,5.104,5.178,4314861.0
2023-04-10 22:00:00+00:00,5.178,5.235,5.177,5.177,2663666.0
2023-04-10 23:00:00+00:00,5.177,5.226,5.171,5.182,2241666.0
2023-04-11 00:00:00+00:00,5.182,5.206,5.157,5.178,1922254.0
2023-04-11 01:00:00+00:00,5.178,5.206,5.141,5.196,862001.0
2023-04-11 02:00:00+00:00,5.196,5.219,5.171,5.203,310907.0
2023-04-11 03:00:00+00:00,5.203,5.205,5.16,5.202,724031.0
2023-04-11 04:00:00+00:00,5.202,5.217,5.184,5.216,1029910.0
2023-04-11 05:00:00+00:00,5.216,5.222,5.157,5.166,787143.0
2023-04-11 06:00:00+00:00,5.166,5.229,5.166,5.22,829471.0
2023-04-11 07:00:00+00:00,5.22,5.229,5.199,5.214,465981.0
2023-04-11 08:00:00+00:00,5.214,5.243,5.198,5.216,896044.0
2023-04-11 09:00:00+00:00,5.216,5.216,5.165,5.188,1106656.0
2023-04-11 10:00:00+00:00,5.188,5.196,5.183,5.193,676695.0
2023-04-11 11:00:00+00:00,5.193,5.193,5.158,5.166,754473.0
2023-04-11 12:00:00+00:00,5.166,5.185,5.136,5.166,844816.0
2023-04-11 13:00:00+00:00,5.166,5.208,5.161,5.185,975647.0
2023-04-11 14:00:00+00:00,5.185,5.189,5.127,5.147,1222850.0
2023-04-11 15:00:00+00:00,5.147,5.201,5.146,5.186,1138288.0
2023-04-11 16:00:00+00:00,5.186,5.202,5.152,5.165,3539520.0
2023-04-11 17:00:00+00:00,5.165,5.198,5.153,5.196,864868.0
2023-04-11 18:00:00+00:00,5.196,5.255,5.195,5.224,13569684.0
2023-04-11 19:00:00+00:00,5.224,5.279,5.217,5.227,9225901.0
2023-04-11 20:00:00+00:00,5.227,5.253,5.198,5.243,1464198.0
2023-04-11 21:00:00+00:00,5.243,5.281,5.219,5.263,1391486.0
2023-04-11 22:00:00+00:00,5.263,5.283,5.242,5.273,934016.0
2023-04-11 23:00:00+00:00,5.273,5.341,5.269,5.319,7633833.0
2023-04-12 00:00:00+00:00,5.319,5.369,5.282,5.291,4415076.0
2023-04-12 01:00:00+00:00,5.291,5.319,5.222,5.244,3205553.0
2023-04-12 02:00:00+00:00,5.244,5.256,5.163,5.186,2757136.0
2023-04-12 03:00:00+00:00,5.186,5.186,5.123,5.152,3612896.0
2023-04-12 04:00:00+00:00,5.152,5.26,5.144,5.26,1800112.0
2023-04-12 05:00:00+00:00,5.26,5.281,5.181,5.185,2940204.0
2023-04-12 06:00:00+00:00,5.185,5.213,5.169,5.203,795099.0
2023-04-12 07:00:00+00:00,5.203,5.266,5.202,5.225,1380853.0
2023-04-12 08:00:00+00:00,5.225,5.25,5.182,5.182,756184.0
2023-04-12 09:00:00+00:00,5.182,5.244,5.181,5.23,4633736.0
2023-04-12 10:00:00+00:00,5.23,5.28,5.22,5.268,1496861.0
2023-04-12 11:00:00+00:00,5.268,5.288,5.234,5.285,1742757.0
2023-04-12 12:00:00+00:00,5.285,5.363,5.236,5.298,7668240.0
2023-04-12 13:00:00+00:00,5.298,5.338,5.264,5.284,5661600.0
2023-04-12 14:00:00+00:00,5.284,5.455,5.274,5.41,6594221.0
2023-04-12 15:00:00+00:00,5.41,5.418,5.322,5.352,6694716.0
2023-04-12 16:00:00+00:00,5.352,5.36,5.303,5.311,5491189.0
2023-04-12 17:00:00+00:00,5.311,5.359,5.311,5.356,1900551.0
2023-04-12 18:00:00+00:00,5.356,5.394,5.321,5.364,3378243.0
2023-04-12 19:00:00+00:00,5.364,5.375,5.336,5.366,871275.0
2023-04-12 20:00:00+00:00,5.366,5.406,5.365,5.386,1011626.0
2023-04-12 21:00:00+00:00,5.386,5.476,5.382,5.397,3309232.0
2023-04-12 22:00:00+00:00,5.397,5.407,5.363,5.382,1079677.0
2023-04-12 23:00:00+00:00,5.382,5.417,5.373,5.394,510898.0
2023-04-13 00:00:00+00:00,5.394,5.417,5.354,5.373,1450900.0
2023-04-13 01:00:00+00:00,5.373,5.392,5.327,5.35,1812809.0
2023-04-13 02:00:00+00:00,5.35,5.361,5.331,5.334,805365.0
2023-04-13 03:00:00+00:00,5.334,5.364,5.334,5.349,175685.0
2023-04-13 04:00:00+00:00,5.349,5.365,5.325,5.329,310188.0
2023-04-13 05:00:00+00:00,5.329,5.335,5.305,5.31,679102.0
2023-04-13 06:00:00+00:00,5.31,5.318,5.262,5.267,1398338.0
2023-04-13 07:00:00+00:00,5.267,5.315,5.267,5.309,608031.0
2023-04-13 08:00:00+00:00,5.309,5.364,5.288,5.345,772554.0
2023-04-13 09:00:00+00:00,5.345,5.394,5.342,5.385,1100114.0
2023-04-13 10:00:00+00:00,5.385,5.392,5.354,5.377,825921.0
2023-04-13 11:00:00+00:00,5.377,5.383,5.358,5.36,265661.0
2023-04-13 12:00:00+00:00,5.36,5.405,5.351,5.403,747046.0
2023-04-13 13:00:00+00:00,5.403,5.404,5.336,5.345,1468315.0
2023-04-13 14:00:00+00:00,5.345,5.378,5.334,5.367,564394.0
2023-04-13 15:00:00+00:00,5.367,5.434,5.329,5.409,1714841.0
2023-04-13 16:00:00+00:00,5.409,5.453,5.4,5.406,2143786.0
2023-04-13 17:00:00+00:00,5.406,5.469,5.403,5.447,1428175.0
2023-04-13 18:00:00+00:00,5.447,5.5,5.444,5.492,1511723.0
2023-04-13 19:00:00+00:00,5.492,5.492,5.454,5.459,877992.0
2023-04-13 20:00:00+00:00,5.459,5.463,5.411,5.449,1884008.0
2023-04-13 21:00:00+00:00,5.449,5.462,5.438,5.438,537871.0
2023-04-13 22:00:00+00:00,5.438,5.479,5.438,5.479,1179461.0
2023-04-13 23:00:00+00:00,5.479,5.479,5.443,5.47,517912.0
2023-04-14 00:00:00+00:00,5.47,5.637,5.464,5.626,5659986.0
2023-04-14 01:00:00+00:00,5.626,5.66,5.598,5.603,1517486.0
2023-04-14 02:00:00+00:00,5.603,5.625,5.578,5.595,996896.0
2023-04-14 03:00:00+00:00,5.595,5.632,5.576,5.597,789706.0
2023-04-14 04:00:00+00:00,5.598,5.63,5.579,5.59,429790.0
2023-04-14 05:00:00+00:00,5.59,5.608,5.582,5.587,424622.0
2023-04-14 06:00:00+00:00,5.587,5.642,5.567,5.59,1643523.0
2023-04-14 07:00:00+00:00,5.59,5.59,5.505,5.523,2197759.0
2023-04-14 08:00:00+00:00,5.523,5.541,5.509,5.529,991596.0
