ts,open,high,low,close,volume
2026-02-19 20:00:00+00:00,2.156,2.156,2.139,2.148,13417875.0
2026-02-19 21:00:00+00:00,2.148,2.151,2.136,2.136,17879291.0
2026-02-19 22:00:00+00:00,2.136,2.159,2.133,2.157,14347021.0
2026-02-19 23:00:00+00:00,2.157,2.176,2.157,2.176,15426105.0
2026-02-20 00:00:00+00:00,2.176,2.176,2.161,2.169,4986051.0
2026-02-20 01:00:00+00:00,2.169,2.188,2.166,2.185,2586665.0
2026-02-20 02:00:00+00:00,2.185,2.188,2.153,2.159,4988327.0
2026-02-20 03:00:00+00:00,2.159,2.173,2.156,2.162,3036933.0
2026-02-20 04:00:00+00:00,2.162,2.163,2.133,2.146,15579211.0
2026-02-20 05:00:00+00:00,2.146,2.171,2.137,2.165,5893772.0
2026-02-20 06:00:00+00:00,2.165,2.177,2.159,2.177,5369669.0
2026-02-20 07:00:00+00:00,2.177,2.183,2.168,2.172,4277495.0
2026-02-20 08:00:00+00:00,2.172,2.174,2.161,2.166,14345661.0
2026-02-20 09:00:00+00:00,2.166,2.179,2.163,2.165,25790764.0
2026-02-20 10:00:00+00:00,2.165,2.182,2.154,2.155,62240045.0
2026-02-20 11:00:00+00:00,2.155,2.157,2.137,2.139,39910857.0
2026-02-20 12:00:00+00:00,2.139,2.158,2.136,2.154,36400481.0
2026-02-20 13:00:00+00:00,2.154,2.158,2.117,2.13,169384642.0
2026-02-20 14:00:00+00:00,2.13,2.176,2.122,2.151,56068581.0
2026-02-20 15:00:00+00:00,2.151,2.2,2.121,2.169,161430931.0
2026-02-20 16:00:00+00:00,2.169,2.174,2.147,2.171,19211772.0
2026-02-20 17:00:00+00:00,2.171,2.172,2.124,2.161,22325268.0
2026-02-20 18:00:00+00:00,2.161,2.178,2.149,2.171,12677551.0
2026-02-20 19:00:00+00:00,2.171,2.186,2.163,2.177,13117510.0
2026-02-20 20:00:00+00:00,2.177,2.205,2.173,2.187,9826096.0
2026-02-20 21:00:00+00:00,2.187,2.199,2.179,2.195,7061421.0
2026-02-20 22:00:00+00:00,2.195,2.198,2.175,2.194,4648586.0
2026-02-20 23:00:00+00:00,2.194,2.204,2.184,2.184,5586163.0
2026-02-21 00:00:00+00:00,2.184,2.187,2.164,2.167,12706785.0
2026-02-21 01:00:00+00:00,2.167,2.173,2.161,2.171,4366804.0
2026-02-21 02:00:00+00:00,2.171,2.19,2.168,2.171,9850611.0
2026-02-21 03:00:00+00:00,2.171,2.172,2.151,2.16,5725928.0
2026-02-21 04:00:00+00:00,2.16,2.177,2.157,2.176,4641138.0
2026-02-21 05:00:00+00:00,2.176,2.197,2.176,2.189,7913244.0
2026-02-21 06:00:00+00:00,2.189,2.192,2.173,2.178,7120634.0
2026-02-21 07:00:00+00:00,2.178,2.182,2.168,2.171,11754811.0
2026-02-21 08:00:00+00:00,2.171,2.203,2.167,2.201,8715713.0
2026-02-21 09:00:00+00:00,2.201,2.273,2.189,2.238,46470521.0
2026-02-21 10:00:00+00:00,2.238,2.262,2.229,2.239,12339606.0
2026-02-21 11:00:00+00:00,2.239,2.246,2.23,2.241,8238223.0
2026-02-21 12:00:00+00:00,2.241,2.252,2.233,2.236,11837117.0
2026-02-21 13:00:00+00:00,2.236,2.267,2.232,2.264,13123914.0
2026-02-21 14:00:00+00:00,2.264,2.277,2.253,2.26,17435848.0
2026-02-21 15:00:00+00:00,2.26,2.277,2.242,2.275,13054212.0
2026-02-21 16:00:00+00:00,2.275,2.278,2.233,2.238,34494248.0
2026-02-21 17:00:00+00:00,2.238,2.25,2.217,2.233,12625997.0
2026-02-21 18:00:00+00:00,2.233,2.24,2.221,2.231,7806188.0
2026-02-21 19:00:00+00:00,2.231,2.233,2.219,2.223,10763880.0
2026-02-21 20:00:00+00:00,2.223,2.224,2.196,2.199,27026693.0
2026-02-21 21:00:00+00:00,2.199,2.213,2.191,2.213,13360197.0
2026-02-21 22:00:00+00:00,2.213,2.216,2.203,2.206,12052477.0
2026-02-21 23:00:00+00:00,2.206,2.212,2.196,2.198,8486533.0
2026-02-22 00:00:00+00:00,2.198,2.198,2.155,2.162,28877886.0
2026-02-22 01:00:00+00:00,2.162,2.181,2.162,2.175,6673915.0
2026-02-22 02:00:00+00:00,2.175,2.18,2.154,2.157,21387644.0
2026-02-22 03:00:00+00:00,2.157,2.164,2.144,2.156,24043581.0
2026-02-22 04:00:00+00:00,2.156,2.166,2.154,2.166,5269898.0
2026-02-22 05:00:00+00:00,2.166,2.171,2.154,2.16,9211813.0
2026-02-22 06:00:00+00:00,2.16,2.177,2.154,2.173,6531188.0
2026-02-22 07:00:00+00:00,2.173,2.214,2.171,2.209,21970885.0
2026-02-22 08:00:00+00:00,2.209,2.212,2.174,2.176,30329567.0
2026-02-22 09:00:00+00:00,2.176,2.191,2.175,2.189,18749506.0
2026-02-22 10:00:00+00:00,2.189,2.199,2.184,2.188,6878729.0
2026-02-22 11:00:00+00:00,2.188,2.188,2.157,2.161,25067213.0
2026-02-22 12:00:00+00:00,2.161,2.165,2.102,2.115,52597345.0
2026-02-22 13:00:00+00:00,2.115,2.124,2.106,2.117,24654091.0
2026-02-22 14:00:00+00:00,2.117,2.124,2.103,2.108,20788722.0
2026-02-22 15:00:00+00:00,2.108,2.123,2.091,2.116,47566491.0
2026-02-22 16:00:00+00:00,2.116,2.119,2.109,2.117,13070118.0
2026-02-22 17:00:00+00:00,2.117,2.126,2.098,2.116,17248803.0
2026-02-22 18:00:00+00:00,2.116,2.121,2.106,2.119,13894927.0
2026-02-22 19:00:00+00:00,2.119,2.122,2.112,2.12,9379482.0
2026-02-22 20:00:00+00:00,2.12,2.131,2.118,2.124,24009372.0
2026-02-22 21:00:00+00:00,2.124,2.137,2.116,2.131,18251850.0
2026-02-22 22:00:00+00:00,2.131,2.15,2.127,2.145,13464389.0
2026-02-22 23:00:00+00:00,2.145,2.162,2.139,2.151,14621643.0
2026-02-23 00:00:00+00:00,2.151,2.155,2.114,2.115,22791562.0
2026-02-23 01:00:00+00:00,2.115,2.116,2.024,2.028,74457052.0
2026-02-23 02:00:00+00:00,2.028,2.051,2.025,2.051,12529129.0
2026-02-23 03:00:00+00:00,2.051,2.07,2.043,2.053,7748735.0
2026-02-23 04:00:00+00:00,2.053,2.053,2.028,2.033,18760752.0
2026-02-23 05:00:00+00:00,2.033,2.06,2.03,2.044,8250470.0
2026-02-23 06:00:00+00:00,2.044,2.077,2.043,2.07,13484324.0
2026-02-23 07:00:00+00:00,2.07,2.083,2.069,2.071,6059024.0
2026-02-23 08:00:00+00:00,2.071,2.072,2.055,2.058,10446466.0
2026-02-23 09:00:00+00:00,2.058,2.1,2.057,2.096,17461094.0
2026-02-23 10:00:00+00:00,2.096,2.101,2.075,2.079,15932631.0
2026-02-23 11:00:00+00:00,2.079,2.098,2.077,2.085,8608967.0
2026-02-23 12:00:00+00:00,2.085,2.123,2.084,2.111,31869944.0
2026-02-23 13:00:00+00:00,2.111,2.111,2.078,2.081,29354650.0
2026-02-23 14:00:00+00:00,2.081,2.089,2.06,2.074,18419528.0
2026-02-23 15:00:00+00:00,2.074,2.08,2.05,2.057,15906244.0
2026-02-23 16:00:00+00:00,2.057,2.069,2.042,2.045,23601608.0
2026-02-23 17:00:00+00:00,2.045,2.053,2.012,2.047,41600608.0
2026-02-23 18:00:00+00:00,2.047,2.065,2.042,2.046,23251816.0
2026-02-23 19:00:00+00:00,2.046,2.052,2.036,2.041,30522106.0
2026-02-23 20:00:00+00:00,2.041,2.048,2.024,2.046,38089566.0
2026-02-23 21:00:00+00:00,2.046,2.066,2.046,2.063,11601181.0
2026-02-23 22:00:00+00:00,2.063,2.085,2.062,2.075,13506605.0
2026-02-23 23:00:00+00:00,2.075,2.095,2.075,2.085,13849219.0
2026-02-24 00:00:00+00:00,2.085,2.107,2.08,2.106,11797656.0
2026-02-24 01:00:00+00:00,2.106,2.108,2.057,2.077,23828880.0
2026-02-24 02:00:00+00:00,2.077,2.082,2.057,2.059,13449313.0
2026-02-24 03:00:00+00:00,2.059,2.065,2.038,2.049,18390610.0
2026-02-24 04:00:00+00:00,2.049,2.056,2.031,2.043,9951692.0
2026-02-24 05:00:00+00:00,2.043,2.044,2.014,2.022,25792944.0
2026-02-24 06:00:00+00:00,2.022,2.031,2.015,2.019,13566323.0
2026-02-24 07:00:00+00:00,2.019,2.033,2.015,2.028,15461094.0
2026-02-24 08:00:00+00:00,2.028,2.047,2.019,2.04,20480748.0
2026-02-24 09:00:00+00:00,2.04,2.048,2.023,2.047,12658347.0
2026-02-24 10:00:00+00:00,2.047,2.064,2.041,2.05,23353663.0
2026-02-24 11:00:00+00:00,2.05,2.061,2.05,2.059,5302405.0
2026-02-24 12:00:00+00:00,2.059,2.076,2.056,2.065,8403203.0
2026-02-24 13:00:00+00:00,2.065,2.072,2.043,2.064,10578810.0
2026-02-24 14:00:00+00:00,2.064,2.104,2.047,2.093,22508462.0
2026-02-24 15:00:00+00:00,2.093,2.107,2.08,2.101,29664780.0
2026-02-24 16:00:00+00:00,2.101,2.132,2.1,2.127,40162712.0
2026-02-24 17:00:00+00:00,2.127,2.134,2.117,2.128,18202041.0
2026-02-24 18:00:00+00:00,2.128,2.134,2.118,2.122,5665713.0
2026-02-24 19:00:00+00:00,2.122,2.132,2.112,2.124,18378252.0
2026-02-24 20:00:00+00:00,2.124,2.138,2.117,2.12,15444928.0
2026-02-24 21:00:00+00:00,2.12,2.125,2.106,2.115,20386373.0
2026-02-24 22:00:00+00:00,2.115,2.127,2.109,2.114,6386949.0
