ts,open,high,low,close,volume
2023-01-01 00:00:00+00:00,1.273,1.274,1.263,1.265,4647.0
2023-01-01 01:00:00+00:00,1.265,1.266,1.261,1.263,1892.0
2023-01-01 02:00:00+00:00,1.263,1.269,1.26,1.266,2576.0
2023-01-01 03:00:00+00:00,1.266,1.268,1.264,1.266,2365.0
2023-01-01 04:00:00+00:00,1.266,1.269,1.264,1.264,2745.0
2023-01-01 05:00:00+00:00,1.264,1.267,1.263,1.263,3029.0
2023-01-01 06:00:00+00:00,1.263,1.266,1.263,1.264,4823.0
2023-01-01 07:00:00+00:00,1.264,1.265,1.258,1.258,2909.0
2023-01-01 08:00:00+00:00,1.258,1.259,1.253,1.255,3812.0
2023-01-01 09:00:00+00:00,1.255,1.258,1.252,1.258,1798.0
2023-01-01 10:00:00+00:00,1.258,1.26,1.256,1.259,4026.0
2023-01-01 11:00:00+00:00,1.259,1.261,1.257,1.26,1844.0
2023-01-01 12:00:00+00:00,1.26,1.261,1.257,1.259,2060.0
2023-01-01 13:00:00+00:00,1.259,1.262,1.258,1.262,1778.0
2023-01-01 14:00:00+00:00,1.262,1.263,1.253,1.253,2710.0
2023-01-01 15:00:00+00:00,1.253,1.258,1.253,1.256,3707.0
2023-01-01 16:00:00+00:00,1.256,1.259,1.256,1.257,1677.0
2023-01-01 17:00:00+00:00,1.257,1.263,1.256,1.261,3969.0
2023-01-01 18:00:00+00:00,1.261,1.263,1.261,1.261,2568.0
2023-01-01 19:00:00+00:00,1.261,1.265,1.26,1.262,2231.0
2023-01-01 20:00:00+00:00,1.262,1.267,1.261,1.264,3213.0
2023-01-01 21:00:00+00:00,1.264,1.266,1.264,1.266,1847.0
2023-01-01 22:00:00+00:00,1.266,1.267,1.264,1.264,1755.0
2023-01-01 23:00:00+00:00,1.264,1.274,1.264,1.273,1950.0
2023-01-02 00:00:00+00:00,1.273,1.279,1.265,1.268,2931.0
2023-01-02 01:00:00+00:00,1.268,1.268,1.249,1.251,4945.0
2023-01-02 02:00:00+00:00,1.251,1.257,1.249,1.254,1764.0
2023-01-02 03:00:00+00:00,1.254,1.273,1.254,1.273,3559.0
2023-01-02 04:00:00+00:00,1.273,1.273,1.263,1.265,2379.0
2023-01-02 05:00:00+00:00,1.265,1.27,1.265,1.267,2799.0
2023-01-02 06:00:00+00:00,1.267,1.272,1.265,1.266,2830.0
2023-01-02 07:00:00+00:00,1.266,1.291,1.266,1.279,40025.0
2023-01-02 08:00:00+00:00,1.279,1.292,1.279,1.288,1803.0
2023-01-02 09:00:00+00:00,1.288,1.292,1.283,1.286,11166.0
2023-01-02 10:00:00+00:00,1.286,1.298,1.286,1.294,51849.0
2023-01-02 11:00:00+00:00,1.294,1.294,1.282,1.288,9747.0
2023-01-02 12:00:00+00:00,1.288,1.293,1.288,1.29,1783.0
2023-01-02 13:00:00+00:00,1.29,1.292,1.282,1.285,6751.0
2023-01-02 14:00:00+00:00,1.285,1.288,1.282,1.285,27135.0
2023-01-02 15:00:00+00:00,1.285,1.294,1.285,1.289,28368.0
2023-01-02 16:00:00+00:00,1.289,1.295,1.285,1.286,170971.0
2023-01-02 17:00:00+00:00,1.286,1.291,1.285,1.29,3128.0
2023-01-02 18:00:00+00:00,1.29,1.294,1.29,1.291,9512.0
2023-01-02 19:00:00+00:00,1.291,1.3,1.291,1.299,19233.0
2023-01-02 20:00:00+00:00,1.299,1.299,1.293,1.297,5310.0
2023-01-02 21:00:00+00:00,1.297,1.307,1.296,1.306,13572.0
2023-01-02 22:00:00+00:00,1.306,1.307,1.292,1.292,60669.0
2023-01-02 23:00:00+00:00,1.292,1.303,1.292,1.298,13339.0
2023-01-03 00:00:00+00:00,1.298,1.313,1.296,1.311,1916.0
2023-01-03 01:00:00+00:00,1.311,1.311,1.297,1.302,1784.0
2023-01-03 02:00:00+00:00,1.302,1.304,1.297,1.301,1759.0
2023-01-03 03:00:00+00:00,1.301,1.304,1.296,1.303,1742.0
2023-01-03 04:00:00+00:00,1.303,1.307,1.302,1.306,1848.0
2023-01-03 05:00:00+00:00,1.306,1.312,1.302,1.311,2787.0
2023-01-03 06:00:00+00:00,1.311,1.319,1.311,1.311,9164.0
2023-01-03 07:00:00+00:00,1.311,1.313,1.306,1.31,2322.0
2023-01-03 08:00:00+00:00,1.31,1.311,1.295,1.299,7121.0
2023-01-03 09:00:00+00:00,1.299,1.31,1.298,1.309,2170.0
2023-01-03 10:00:00+00:00,1.309,1.309,1.306,1.308,1760.0
2023-01-03 11:00:00+00:00,1.308,1.308,1.294,1.296,5021.0
2023-01-03 12:00:00+00:00,1.296,1.301,1.293,1.294,2811.0
2023-01-03 13:00:00+00:00,1.294,1.298,1.293,1.297,3554.0
2023-01-03 14:00:00+00:00,1.297,1.31,1.284,1.288,11696.0
2023-01-03 15:00:00+00:00,1.288,1.295,1.285,1.292,4603.0
2023-01-03 16:00:00+00:00,1.292,1.299,1.286,1.286,51941.0
2023-01-03 17:00:00+00:00,1.286,1.287,1.279,1.282,3320.0
2023-01-03 18:00:00+00:00,1.282,1.287,1.281,1.286,1905.0
2023-01-03 19:00:00+00:00,1.286,1.287,1.281,1.286,1947.0
2023-01-03 20:00:00+00:00,1.286,1.292,1.285,1.291,10804.0
2023-01-03 21:00:00+00:00,1.291,1.295,1.291,1.295,19292.0
2023-01-03 22:00:00+00:00,1.295,1.302,1.293,1.301,1780.0
2023-01-03 23:00:00+00:00,1.301,1.307,1.301,1.304,7670.0
2023-01-04 00:00:00+00:00,1.304,1.324,1.304,1.324,18113.0
2023-01-04 01:00:00+00:00,1.324,1.334,1.319,1.32,33529.0
2023-01-04 02:00:00+00:00,1.32,1.33,1.317,1.327,7391.0
2023-01-04 03:00:00+00:00,1.327,1.34,1.327,1.338,2186.0
2023-01-04 04:00:00+00:00,1.338,1.353,1.335,1.345,22583.0
2023-01-04 05:00:00+00:00,1.345,1.347,1.339,1.347,7300.0
2023-01-04 06:00:00+00:00,1.347,1.349,1.346,1.349,2802.0
2023-01-04 07:00:00+00:00,1.349,1.352,1.342,1.346,10931.0
2023-01-04 08:00:00+00:00,1.346,1.347,1.331,1.337,8125.0
2023-01-04 09:00:00+00:00,1.337,1.339,1.331,1.334,3079.0
2023-01-04 10:00:00+00:00,1.334,1.337,1.333,1.336,6251.0
2023-01-04 11:00:00+00:00,1.336,1.338,1.333,1.336,4578.0
2023-01-04 12:00:00+00:00,1.336,1.352,1.334,1.345,9279.0
2023-01-04 13:00:00+00:00,1.345,1.365,1.34,1.363,16833.0
2023-01-04 14:00:00+00:00,1.363,1.363,1.341,1.347,7595.0
2023-01-04 15:00:00+00:00,1.347,1.357,1.329,1.357,5337.0
2023-01-04 16:00:00+00:00,1.357,1.368,1.357,1.36,5767.0
2023-01-04 17:00:00+00:00,1.36,1.367,1.352,1.363,3565.0
2023-01-04 18:00:00+00:00,1.363,1.369,1.36,1.363,3841.0
2023-01-04 19:00:00+00:00,1.363,1.365,1.336,1.343,2025.0
2023-01-04 20:00:00+00:00,1.343,1.354,1.334,1.342,3777.0
2023-01-04 21:00:00+00:00,1.342,1.346,1.337,1.342,2701.0
