ts,open,high,low,close,volume
2023-01-01 00:00:00+00:00,0.9519,0.9587,0.9519,0.9522,2633.0
2023-01-01 01:00:00+00:00,0.9522,0.953,0.9455,0.9511,6178.0
2023-01-01 02:00:00+00:00,0.9511,0.9554,0.949,0.9553,2927.0
2023-01-01 03:00:00+00:00,0.9553,0.9598,0.9534,0.9598,12529.0
2023-01-01 04:00:00+00:00,0.9598,0.9669,0.9572,0.9661,19325.0
2023-01-01 05:00:00+00:00,0.9661,0.9882,0.9637,0.9774,283630.0
2023-01-01 06:00:00+00:00,0.9774,1.0061,0.9713,0.9983,341983.0
2023-01-01 07:00:00+00:00,0.9983,1.0034,0.987,1.0026,368067.0
2023-01-01 08:00:00+00:00,1.0026,1.0055,0.9931,1.0014,134958.0
2023-01-01 09:00:00+00:00,1.0014,1.0067,0.9941,1.0002,129829.0
2023-01-01 10:00:00+00:00,1.0002,1.0201,1.0001,1.01,397284.0
2023-01-01 11:00:00+00:00,1.01,1.0207,1.0077,1.008,375104.0
2023-01-01 12:00:00+00:00,1.008,1.0145,0.998,1.0056,323028.0
2023-01-01 13:00:00+00:00,1.0056,1.0087,0.9988,1.0056,337715.0
2023-01-01 14:00:00+00:00,1.0056,1.0513,1.0056,1.0156,1188800.0
2023-01-01 15:00:00+00:00,1.0156,1.0325,1.0151,1.0248,324462.0
2023-01-01 16:00:00+00:00,1.0248,1.0464,1.0239,1.0323,354544.0
2023-01-01 17:00:00+00:00,1.0323,1.0542,1.0314,1.0472,678117.0
2023-01-01 18:00:00+00:00,1.0472,1.0799,1.0472,1.0655,1215300.0
2023-01-01 19:00:00+00:00,1.0655,1.1122,1.0655,1.0956,2364593.0
2023-01-01 20:00:00+00:00,1.0956,1.1087,1.0824,1.0914,2635792.0
2023-01-01 21:00:00+00:00,1.0914,1.1067,1.077,1.0816,2033075.0
2023-01-01 22:00:00+00:00,1.0816,1.0883,1.0729,1.083,1238087.0
2023-01-01 23:00:00+00:00,1.083,1.0836,1.0741,1.0795,870436.0
2023-01-02 00:00:00+00:00,1.0795,1.0795,1.0625,1.0639,967712.0
2023-01-02 01:00:00+00:00,1.0639,1.0683,1.0564,1.0671,1110086.0
2023-01-02 02:00:00+00:00,1.0671,1.0887,1.06,1.0642,975431.0
2023-01-02 03:00:00+00:00,1.0642,1.0733,1.0569,1.0722,215164.0
2023-01-02 04:00:00+00:00,1.0722,1.079,1.0618,1.0745,233154.0
2023-01-02 05:00:00+00:00,1.0745,1.0856,1.074,1.0748,280977.0
2023-01-02 06:00:00+00:00,1.0748,1.0778,1.0677,1.0706,270652.0
2023-01-02 07:00:00+00:00,1.0706,1.2654,1.0706,1.1692,3632843.0
2023-01-02 08:00:00+00:00,1.1692,1.1732,1.128,1.1399,1986563.0
2023-01-02 09:00:00+00:00,1.1399,1.153,1.1344,1.1454,769213.0
2023-01-02 10:00:00+00:00,1.1454,1.1477,1.1347,1.1427,653739.0
2023-01-02 11:00:00+00:00,1.1427,1.1597,1.1417,1.145,817033.0
2023-01-02 12:00:00+00:00,1.145,1.1785,1.145,1.1612,405591.0
2023-01-02 13:00:00+00:00,1.1612,1.1727,1.1539,1.1694,517240.0
2023-01-02 14:00:00+00:00,1.1694,1.1857,1.1586,1.1821,994039.0
2023-01-02 15:00:00+00:00,1.1821,1.219,1.1776,1.2182,1444239.0
2023-01-02 16:00:00+00:00,1.2182,1.2182,1.1849,1.1894,874299.0
2023-01-02 17:00:00+00:00,1.1894,1.205,1.1877,1.1992,382848.0
2023-01-02 18:00:00+00:00,1.1992,1.2377,1.1982,1.2164,1620788.0
2023-01-02 19:00:00+00:00,1.2164,1.2332,1.2164,1.2243,1124649.0
2023-01-02 20:00:00+00:00,1.2243,1.2473,1.223,1.2343,1300208.0
2023-01-02 21:00:00+00:00,1.2343,1.254,1.2212,1.2343,1576497.0
2023-01-02 22:00:00+00:00,1.2343,1.2343,1.2152,1.2193,819932.0
2023-01-02 23:00:00+00:00,1.2193,1.2265,1.2,1.2052,699075.0
2023-01-03 00:00:00+00:00,1.2052,1.225,1.1956,1.2128,952125.0
2023-01-03 01:00:00+00:00,1.2128,1.2189,1.2026,1.2067,373245.0
2023-01-03 02:00:00+00:00,1.2067,1.2232,1.2048,1.209,418110.0
2023-01-03 03:00:00+00:00,1.209,1.2235,1.2071,1.2097,247960.0
2023-01-03 04:00:00+00:00,1.2097,1.2171,1.204,1.2145,141695.0
2023-01-03 05:00:00+00:00,1.2145,1.3,1.2145,1.2392,1969702.0
2023-01-03 06:00:00+00:00,1.2392,1.2392,1.2258,1.2377,344055.0
2023-01-03 07:00:00+00:00,1.2377,1.2427,1.2267,1.2328,490368.0
2023-01-03 08:00:00+00:00,1.2328,1.2342,1.2169,1.2268,325002.0
2023-01-03 09:00:00+00:00,1.2268,1.238,1.2231,1.2334,224991.0
2023-01-03 10:00:00+00:00,1.2334,1.2493,1.2229,1.238,488184.0
2023-01-03 11:00:00+00:00,1.238,1.2445,1.2259,1.2259,490598.0
2023-01-03 12:00:00+00:00,1.2259,1.2409,1.2259,1.236,208575.0
2023-01-03 13:00:00+00:00,1.236,1.2586,1.236,1.2503,623923.0
2023-01-03 14:00:00+00:00,1.2503,1.2802,1.2386,1.2539,701924.0
2023-01-03 15:00:00+00:00,1.2539,1.268,1.2012,1.2176,850997.0
2023-01-03 16:00:00+00:00,1.2176,1.2346,1.2039,1.2117,514147.0
2023-01-03 17:00:00+00:00,1.2117,1.2288,1.2112,1.2259,618332.0
2023-01-03 18:00:00+00:00,1.2259,1.2301,1.2078,1.2139,293024.0
2023-01-03 19:00:00+00:00,1.2139,1.2166,1.1922,1.1978,361987.0
2023-01-03 20:00:00+00:00,1.1978,1.2155,1.1974,1.2126,324041.0
2023-01-03 21:00:00+00:00,1.2126,1.2189,1.1973,1.1995,162637.0
2023-01-03 22:00:00+00:00,1.1995,1.2018,1.1867,1.1981,134217.0
2023-01-03 23:00:00+00:00,1.1981,1.2035,1.1896,1.2012,129073.0
2023-01-04 00:00:00+00:00,1.2012,1.2012,1.1742,1.1892,617654.0
2023-01-04 01:00:00+00:00,1.1892,1.2824,1.1836,1.2344,703359.0
2023-01-04 02:00:00+00:00,1.2344,1.2445,1.2217,1.2404,186997.0
2023-01-04 03:00:00+00:00,1.2404,1.2602,1.2371,1.2516,164393.0
