ts,open,high,low,close,volume
2023-04-06 14:00:00+00:00,7.218,7.238,7.209,7.229,176546.0
2023-04-06 15:00:00+00:00,7.229,7.285,7.225,7.267,222976.0
2023-04-06 16:00:00+00:00,7.267,7.281,7.241,7.243,193995.0
2023-04-06 17:00:00+00:00,7.243,7.254,7.211,7.22,152813.0
2023-04-06 18:00:00+00:00,7.22,7.221,7.163,7.166,612725.0
2023-04-06 19:00:00+00:00,7.166,7.202,7.139,7.194,734984.0
2023-04-06 20:00:00+00:00,7.194,7.204,7.108,7.136,481836.0
2023-04-06 21:00:00+00:00,7.136,7.153,7.109,7.136,277057.0
2023-04-06 22:00:00+00:00,7.136,7.17,7.122,7.164,798206.0
2023-04-06 23:00:00+00:00,7.164,7.199,7.164,7.196,568579.0
2023-04-07 00:00:00+00:00,7.196,7.219,7.165,7.215,286712.0
2023-04-07 01:00:00+00:00,7.215,7.225,7.183,7.185,218156.0
2023-04-07 02:00:00+00:00,7.185,7.209,7.15,7.176,635953.0
2023-04-07 03:00:00+00:00,7.176,7.191,7.164,7.178,156049.0
2023-04-07 04:00:00+00:00,7.178,7.204,7.164,7.204,232523.0
2023-04-07 05:00:00+00:00,7.204,7.212,7.147,7.168,425243.0
2023-04-07 06:00:00+00:00,7.168,7.185,7.142,7.171,154515.0
2023-04-07 07:00:00+00:00,7.171,7.171,7.102,7.125,465502.0
2023-04-07 08:00:00+00:00,7.125,7.159,7.1,7.133,479914.0
2023-04-07 09:00:00+00:00,7.133,7.174,7.127,7.169,365399.0
2023-04-07 10:00:00+00:00,7.169,7.181,7.153,7.165,210850.0
2023-04-07 11:00:00+00:00,7.165,7.167,7.125,7.134,584950.0
2023-04-07 12:00:00+00:00,7.134,7.214,7.125,7.169,489158.0
2023-04-07 13:00:00+00:00,7.169,7.182,7.134,7.179,314637.0
2023-04-07 14:00:00+00:00,7.179,7.207,7.168,7.191,125118.0
2023-04-07 15:00:00+00:00,7.191,7.229,7.191,7.226,1094063.0
2023-04-07 16:00:00+00:00,7.226,7.24,7.201,7.21,597234.0
2023-04-07 17:00:00+00:00,7.21,7.234,7.204,7.224,49725.0
2023-04-07 18:00:00+00:00,7.224,7.238,7.213,7.228,79323.0
2023-04-07 19:00:00+00:00,7.228,7.229,7.202,7.228,96107.0
2023-04-07 20:00:00+00:00,7.228,7.242,7.209,7.214,365964.0
2023-04-07 21:00:00+00:00,7.214,7.236,7.197,7.235,167160.0
2023-04-07 22:00:00+00:00,7.235,7.284,7.233,7.283,687607.0
2023-04-07 23:00:00+00:00,7.283,7.305,7.259,7.259,422459.0
2023-04-08 00:00:00+00:00,7.259,7.288,7.213,7.223,413699.0
2023-04-08 01:00:00+00:00,7.223,7.254,7.208,7.229,214862.0
2023-04-08 02:00:00+00:00,7.229,7.252,7.216,7.252,52439.0
2023-04-08 03:00:00+00:00,7.252,7.273,7.233,7.264,83896.0
2023-04-08 04:00:00+00:00,7.264,7.268,7.241,7.248,39543.0
2023-04-08 05:00:00+00:00,7.248,7.29,7.248,7.29,96259.0
