ts,open,high,low,close,volume
2026-02-19 20:00:00+00:00,52.59,52.73,52.38,52.61,13097709.0
2026-02-19 21:00:00+00:00,52.61,52.65,52.46,52.48,8678147.0
2026-02-19 22:00:00+00:00,52.48,52.7,52.35,52.55,9904473.0
2026-02-19 23:00:00+00:00,52.55,52.72,52.55,52.67,11820765.0
2026-02-20 00:00:00+00:00,52.67,53.06,52.63,52.88,10816200.0
2026-02-20 01:00:00+00:00,52.88,53.11,52.85,53.05,7277347.0
2026-02-20 02:00:00+00:00,53.05,53.19,53.0,53.02,3131673.0
2026-02-20 03:00:00+00:00,53.02,53.31,52.96,53.19,4307863.0
2026-02-20 04:00:00+00:00,53.19,53.23,52.81,53.11,5355284.0
2026-02-20 05:00:00+00:00,53.11,53.62,52.96,53.4,5414373.0
2026-02-20 06:00:00+00:00,53.4,53.52,53.25,53.44,4340402.0
2026-02-20 07:00:00+00:00,53.44,53.67,53.41,53.48,8100869.0
2026-02-20 08:00:00+00:00,53.48,53.65,53.37,53.6,8648771.0
2026-02-20 09:00:00+00:00,53.6,54.05,53.59,54.01,8295119.0
2026-02-20 10:00:00+00:00,54.01,54.29,53.72,53.76,12338141.0
2026-02-20 11:00:00+00:00,53.76,53.78,53.43,53.56,13924720.0
2026-02-20 12:00:00+00:00,53.56,53.73,53.45,53.49,13166913.0
2026-02-20 13:00:00+00:00,53.49,53.59,52.7,52.99,22898937.0
2026-02-20 14:00:00+00:00,52.99,53.98,52.93,53.71,24739214.0
2026-02-20 15:00:00+00:00,53.71,54.91,53.69,54.85,11317159.0
2026-02-20 16:00:00+00:00,54.85,55.41,54.58,55.17,13017062.0
2026-02-20 17:00:00+00:00,55.17,55.25,54.21,55.2,11897092.0
2026-02-20 18:00:00+00:00,55.2,55.36,54.79,55.24,4848068.0
2026-02-20 19:00:00+00:00,55.24,55.35,54.79,54.93,14953323.0
2026-02-20 20:00:00+00:00,54.93,55.28,54.89,55.08,7446130.0
2026-02-20 21:00:00+00:00,55.08,55.25,55.03,55.21,8192583.0
2026-02-20 22:00:00+00:00,55.21,55.37,55.02,55.27,12693900.0
2026-02-20 23:00:00+00:00,55.27,55.33,55.06,55.15,8480960.0
2026-02-21 00:00:00+00:00,55.15,55.32,54.75,54.83,15367533.0
2026-02-21 01:00:00+00:00,54.83,55.13,54.83,55.04,8001927.0
2026-02-21 02:00:00+00:00,55.04,55.24,54.98,55.19,9575277.0
2026-02-21 03:00:00+00:00,55.19,55.19,54.87,55.02,8992739.0
2026-02-21 04:00:00+00:00,55.02,55.02,54.83,54.97,7048032.0
2026-02-21 05:00:00+00:00,54.97,55.21,54.97,55.12,4464811.0
2026-02-21 06:00:00+00:00,55.12,55.17,54.99,55.11,5597281.0
2026-02-21 07:00:00+00:00,55.11,55.12,54.94,55.03,6945888.0
2026-02-21 08:00:00+00:00,55.03,55.57,55.0,55.51,10007259.0
2026-02-21 09:00:00+00:00,55.51,55.58,55.07,55.07,14322980.0
2026-02-21 10:00:00+00:00,55.07,55.18,54.94,55.02,8728590.0
2026-02-21 11:00:00+00:00,55.02,55.19,54.86,55.03,10220276.0
2026-02-21 12:00:00+00:00,55.03,55.19,54.89,55.12,11352490.0
2026-02-21 13:00:00+00:00,55.12,55.37,55.02,55.34,11851357.0
2026-02-21 14:00:00+00:00,55.34,55.7,55.26,55.45,17050607.0
2026-02-21 15:00:00+00:00,55.45,55.78,55.35,55.65,11705406.0
2026-02-21 16:00:00+00:00,55.65,55.93,55.19,55.35,14963192.0
2026-02-21 17:00:00+00:00,55.35,55.53,55.22,55.27,8247607.0
2026-02-21 18:00:00+00:00,55.27,55.48,55.26,55.44,6241538.0
2026-02-21 19:00:00+00:00,55.44,55.45,55.1,55.23,7588501.0
2026-02-21 20:00:00+00:00,55.23,55.37,55.04,55.08,10923005.0
2026-02-21 21:00:00+00:00,55.08,55.13,54.95,55.07,7160288.0
2026-02-21 22:00:00+00:00,55.07,55.14,54.86,54.9,9417013.0
2026-02-21 23:00:00+00:00,54.9,55.0,54.82,54.86,8622982.0
2026-02-22 00:00:00+00:00,54.86,54.88,54.46,54.62,11144434.0
2026-02-22 01:00:00+00:00,54.62,54.76,54.51,54.66,7418857.0
2026-02-22 02:00:00+00:00,54.66,54.74,54.36,54.41,9186837.0
2026-02-22 03:00:00+00:00,54.41,54.53,54.29,54.47,11262340.0
2026-02-22 04:00:00+00:00,54.47,54.62,54.41,54.5,7909630.0
2026-02-22 05:00:00+00:00,54.5,54.59,54.25,54.32,6215214.0
2026-02-22 06:00:00+00:00,54.32,54.65,54.3,54.46,7112834.0
2026-02-22 07:00:00+00:00,54.46,54.78,54.43,54.69,5551747.0
2026-02-22 08:00:00+00:00,54.69,54.78,54.51,54.57,4377407.0
2026-02-22 09:00:00+00:00,54.57,54.7,54.53,54.65,1723698.0
2026-02-22 10:00:00+00:00,54.65,54.83,54.59,54.62,3325320.0
2026-02-22 11:00:00+00:00,54.62,54.74,54.6,54.62,3267367.0
2026-02-22 12:00:00+00:00,54.62,54.63,53.97,54.04,8732621.0
2026-02-22 13:00:00+00:00,54.04,54.06,53.48,53.54,11108152.0
2026-02-22 14:00:00+00:00,53.54,53.56,53.11,53.19,17705644.0
2026-02-22 15:00:00+00:00,53.19,53.41,52.94,53.3,12907557.0
2026-02-22 16:00:00+00:00,53.3,53.59,53.2,53.57,8532440.0
2026-02-22 17:00:00+00:00,53.57,53.57,53.07,53.25,11549078.0
2026-02-22 18:00:00+00:00,53.25,53.38,53.15,53.24,6236248.0
2026-02-22 19:00:00+00:00,53.24,53.28,53.06,53.17,6472168.0
2026-02-22 20:00:00+00:00,53.17,53.28,52.92,53.03,8047725.0
2026-02-22 21:00:00+00:00,53.03,53.36,53.02,53.34,6172896.0
2026-02-22 22:00:00+00:00,53.34,53.54,53.3,53.44,3943701.0
2026-02-22 23:00:00+00:00,53.44,53.53,53.25,53.45,9606108.0
2026-02-23 00:00:00+00:00,53.45,53.51,52.96,52.97,9861663.0
2026-02-23 01:00:00+00:00,52.97,52.98,50.86,50.99,18970251.0
2026-02-23 02:00:00+00:00,50.99,51.35,50.9,51.16,15564679.0
