ts,open,high,low,close,volume
2023-04-06 14:00:00+00:00,1.985,1.993,1.982,1.988,186841.0
2023-04-06 15:00:00+00:00,1.988,2.014,1.983,2.011,203252.0
2023-04-06 16:00:00+00:00,2.011,2.014,1.994,1.996,128101.0
2023-04-06 17:00:00+00:00,1.996,2.005,1.992,1.995,73608.0
2023-04-06 18:00:00+00:00,1.995,2.0,1.981,1.981,202055.0
2023-04-06 19:00:00+00:00,1.981,1.997,1.98,1.99,128154.0
2023-04-06 20:00:00+00:00,1.99,2.002,1.972,1.972,52655.0
2023-04-06 21:00:00+00:00,1.972,1.985,1.968,1.98,98927.0
2023-04-06 22:00:00+00:00,1.98,1.986,1.972,1.986,45904.0
2023-04-06 23:00:00+00:00,1.986,1.989,1.98,1.987,46940.0
2023-04-07 00:00:00+00:00,1.987,1.996,1.973,1.995,50425.0
2023-04-07 01:00:00+00:00,1.995,2.001,1.991,1.993,81371.0
2023-04-07 02:00:00+00:00,1.993,2.003,1.979,1.985,86978.0
2023-04-07 03:00:00+00:00,1.985,1.997,1.98,1.992,9100.0
2023-04-07 04:00:00+00:00,1.992,2.027,1.992,2.02,87668.0
2023-04-07 05:00:00+00:00,2.02,2.023,1.996,2.004,53419.0
2023-04-07 06:00:00+00:00,2.004,2.007,1.995,2.001,70776.0
2023-04-07 07:00:00+00:00,2.001,2.001,1.955,1.964,377043.0
2023-04-07 08:00:00+00:00,1.964,1.968,1.952,1.952,159330.0
2023-04-07 09:00:00+00:00,1.952,1.965,1.95,1.963,52802.0
2023-04-07 10:00:00+00:00,1.963,1.975,1.962,1.971,39258.0
2023-04-07 11:00:00+00:00,1.971,1.975,1.954,1.959,89913.0
2023-04-07 12:00:00+00:00,1.959,1.986,1.956,1.982,144745.0
2023-04-07 13:00:00+00:00,1.982,2.009,1.977,2.009,552855.0
2023-04-07 14:00:00+00:00,2.009,2.017,2.001,2.005,158303.0
2023-04-07 15:00:00+00:00,2.005,2.01,1.998,2.008,102219.0
2023-04-07 16:00:00+00:00,2.008,2.016,1.999,1.999,83043.0
2023-04-07 17:00:00+00:00,1.999,2.005,1.997,1.997,46688.0
2023-04-07 18:00:00+00:00,1.997,2.005,1.996,1.998,30292.0
2023-04-07 19:00:00+00:00,1.998,2.001,1.992,1.996,135065.0
2023-04-07 20:00:00+00:00,1.996,2.001,1.994,1.996,44500.0
2023-04-07 21:00:00+00:00,1.996,2.003,1.994,1.998,18377.0
2023-04-07 22:00:00+00:00,1.998,2.021,1.998,2.016,56251.0
2023-04-07 23:00:00+00:00,2.016,2.022,2.013,2.015,57385.0
2023-04-08 00:00:00+00:00,2.015,2.019,1.993,1.994,109759.0
2023-04-08 01:00:00+00:00,1.994,1.995,1.977,1.986,563165.0
2023-04-08 02:00:00+00:00,1.986,1.995,1.982,1.994,17163.0
2023-04-08 03:00:00+00:00,1.994,2.005,1.993,2.005,29345.0
2023-04-08 04:00:00+00:00,2.005,2.007,1.992,1.994,66332.0
2023-04-08 05:00:00+00:00,1.994,2.013,1.994,2.013,48902.0
2023-04-08 06:00:00+00:00,2.013,2.016,2.007,2.013,29364.0
2023-04-08 07:00:00+00:00,2.013,2.015,1.998,1.998,52090.0
2023-04-08 08:00:00+00:00,1.998,2.008,1.998,1.999,55453.0
2023-04-08 09:00:00+00:00,1.999,2.009,1.996,2.004,57531.0
2023-04-08 10:00:00+00:00,2.004,2.01,2.001,2.002,21890.0
2023-04-08 11:00:00+00:00,2.002,2.007,1.999,2.001,18329.0
2023-04-08 12:00:00+00:00,2.001,2.001,1.992,1.995,16908.0
2023-04-08 13:00:00+00:00,1.995,2.003,1.987,2.003,41644.0
2023-04-08 14:00:00+00:00,2.003,2.004,1.996,1.998,28109.0
2023-04-08 15:00:00+00:00,1.998,2.0,1.993,1.996,22315.0
2023-04-08 16:00:00+00:00,1.996,2.002,1.994,1.996,9813.0
2023-04-08 17:00:00+00:00,1.996,2.001,1.98,1.981,22980.0
2023-04-08 18:00:00+00:00,1.981,1.985,1.957,1.964,96233.0
2023-04-08 19:00:00+00:00,1.964,1.964,1.95,1.958,94038.0
2023-04-08 20:00:00+00:00,1.958,1.967,1.956,1.958,18783.0
2023-04-08 21:00:00+00:00,1.958,1.969,1.958,1.967,24313.0
2023-04-08 22:00:00+00:00,1.967,1.97,1.956,1.967,15004.0
2023-04-08 23:00:00+00:00,1.967,1.974,1.963,1.969,36325.0
2023-04-09 00:00:00+00:00,1.969,1.981,1.963,1.981,65547.0
2023-04-09 01:00:00+00:00,1.981,1.994,1.98,1.992,33749.0
2023-04-09 02:00:00+00:00,1.992,2.01,1.992,1.996,112999.0
2023-04-09 03:00:00+00:00,1.996,2.002,1.99,1.99,12717.0
2023-04-09 04:00:00+00:00,1.99,1.993,1.986,1.987,13093.0
2023-04-09 05:00:00+00:00,1.987,1.991,1.972,1.972,61840.0
2023-04-09 06:00:00+00:00,1.972,1.975,1.941,1.946,192054.0
2023-04-09 07:00:00+00:00,1.946,1.947,1.928,1.946,90177.0
2023-04-09 08:00:00+00:00,1.946,1.948,1.939,1.947,57570.0
2023-04-09 09:00:00+00:00,1.947,1.955,1.943,1.944,160832.0
2023-04-09 10:00:00+00:00,1.944,1.95,1.942,1.944,25459.0
2023-04-09 11:00:00+00:00,1.944,1.959,1.943,1.958,98744.0
2023-04-09 12:00:00+00:00,1.958,1.968,1.955,1.962,39493.0
2023-04-09 13:00:00+00:00,1.962,1.962,1.943,1.955,67246.0
2023-04-09 14:00:00+00:00,1.955,1.957,1.934,1.945,51806.0
2023-04-09 15:00:00+00:00,1.945,1.955,1.942,1.949,48317.0
2023-04-09 16:00:00+00:00,1.949,1.955,1.943,1.95,159529.0
2023-04-09 17:00:00+00:00,1.95,1.952,1.943,1.948,140335.0
2023-04-09 18:00:00+00:00,1.948,1.964,1.946,1.964,172228.0
2023-04-09 19:00:00+00:00,1.964,1.995,1.962,1.991,439818.0
2023-04-09 20:00:00+00:00,1.991,1.996,1.984,1.985,138410.0
