ts,open,high,low,close,volume
2026-02-19 20:00:00+00:00,0.999,1.002,0.994,1.0,477448.0
2026-02-19 21:00:00+00:00,1.0,1.003,0.997,0.998,496362.0
2026-02-19 22:00:00+00:00,0.998,1.004,0.995,1.002,1145479.0
2026-02-19 23:00:00+00:00,1.002,1.008,1.001,1.008,766051.0
2026-02-20 00:00:00+00:00,1.008,1.01,1.003,1.008,323185.0
2026-02-20 01:00:00+00:00,1.008,1.012,1.003,1.009,65118.0
2026-02-20 02:00:00+00:00,1.009,1.013,1.007,1.008,288047.0
2026-02-20 03:00:00+00:00,1.008,1.012,1.005,1.009,83171.0
2026-02-20 04:00:00+00:00,1.009,1.01,0.992,1.005,2629181.0
2026-02-20 05:00:00+00:00,1.005,1.021,1.0,1.011,2805693.0
2026-02-20 06:00:00+00:00,1.011,1.014,1.008,1.014,44644.0
2026-02-20 07:00:00+00:00,1.014,1.017,1.011,1.015,151861.0
2026-02-20 08:00:00+00:00,1.015,1.017,1.01,1.011,17124.0
2026-02-20 09:00:00+00:00,1.011,1.02,1.011,1.015,293912.0
2026-02-20 10:00:00+00:00,1.015,1.025,1.015,1.016,278078.0
2026-02-20 11:00:00+00:00,1.016,1.019,1.008,1.013,512923.0
2026-02-20 12:00:00+00:00,1.013,1.027,1.01,1.023,414595.0
2026-02-20 13:00:00+00:00,1.023,1.027,1.002,1.011,1231411.0
2026-02-20 14:00:00+00:00,1.011,1.032,1.009,1.026,1564208.0
2026-02-20 15:00:00+00:00,1.026,1.054,1.026,1.04,2057579.0
2026-02-20 16:00:00+00:00,1.04,1.045,1.03,1.043,501136.0
2026-02-20 17:00:00+00:00,1.043,1.046,1.017,1.045,1123238.0
2026-02-20 18:00:00+00:00,1.045,1.046,1.033,1.042,1323596.0
2026-02-20 19:00:00+00:00,1.042,1.045,1.035,1.039,508860.0
2026-02-20 20:00:00+00:00,1.039,1.044,1.037,1.043,119486.0
2026-02-20 21:00:00+00:00,1.043,1.05,1.041,1.049,367283.0
2026-02-20 22:00:00+00:00,1.049,1.054,1.045,1.053,232034.0
2026-02-20 23:00:00+00:00,1.053,1.054,1.046,1.053,85217.0
2026-02-21 00:00:00+00:00,1.053,1.057,1.042,1.043,417614.0
2026-02-21 01:00:00+00:00,1.043,1.05,1.041,1.05,109169.0
2026-02-21 02:00:00+00:00,1.05,1.059,1.047,1.055,132505.0
2026-02-21 03:00:00+00:00,1.055,1.066,1.051,1.058,873430.0
2026-02-21 04:00:00+00:00,1.058,1.069,1.055,1.066,312303.0
2026-02-21 05:00:00+00:00,1.066,1.073,1.066,1.069,128215.0
2026-02-21 06:00:00+00:00,1.069,1.073,1.062,1.066,257851.0
2026-02-21 07:00:00+00:00,1.066,1.073,1.064,1.065,114063.0
2026-02-21 08:00:00+00:00,1.065,1.09,1.065,1.087,457537.0
2026-02-21 09:00:00+00:00,1.087,1.099,1.084,1.089,492723.0
2026-02-21 10:00:00+00:00,1.089,1.105,1.088,1.098,595541.0
2026-02-21 11:00:00+00:00,1.098,1.108,1.085,1.091,1055179.0
2026-02-21 12:00:00+00:00,1.091,1.094,1.078,1.081,1253586.0
2026-02-21 13:00:00+00:00,1.081,1.081,1.07,1.078,388762.0
2026-02-21 14:00:00+00:00,1.078,1.081,1.067,1.067,328378.0
2026-02-21 15:00:00+00:00,1.067,1.069,1.059,1.059,415087.0
2026-02-21 16:00:00+00:00,1.059,1.06,1.048,1.05,645309.0
2026-02-21 17:00:00+00:00,1.05,1.054,1.048,1.053,114154.0
2026-02-21 18:00:00+00:00,1.053,1.056,1.05,1.055,206515.0
2026-02-21 19:00:00+00:00,1.055,1.056,1.05,1.054,71730.0
2026-02-21 20:00:00+00:00,1.054,1.063,1.053,1.054,334926.0
2026-02-21 21:00:00+00:00,1.054,1.058,1.052,1.057,120235.0
2026-02-21 22:00:00+00:00,1.057,1.059,1.049,1.05,143174.0
2026-02-21 23:00:00+00:00,1.05,1.061,1.049,1.057,402823.0
2026-02-22 00:00:00+00:00,1.057,1.057,1.033,1.04,224688.0
2026-02-22 01:00:00+00:00,1.04,1.044,1.037,1.038,218397.0
2026-02-22 02:00:00+00:00,1.038,1.043,1.029,1.031,267472.0
2026-02-22 03:00:00+00:00,1.031,1.033,1.026,1.031,256112.0
2026-02-22 04:00:00+00:00,1.031,1.035,1.03,1.03,40393.0
2026-02-22 05:00:00+00:00,1.03,1.034,1.024,1.027,158614.0
2026-02-22 06:00:00+00:00,1.027,1.034,1.025,1.031,90235.0
2026-02-22 07:00:00+00:00,1.031,1.036,1.03,1.031,37337.0
2026-02-22 08:00:00+00:00,1.031,1.033,1.023,1.024,177751.0
2026-02-22 09:00:00+00:00,1.024,1.029,1.023,1.029,169225.0
2026-02-22 10:00:00+00:00,1.029,1.033,1.027,1.031,121655.0
2026-02-22 11:00:00+00:00,1.031,1.033,1.027,1.028,150531.0
2026-02-22 12:00:00+00:00,1.028,1.029,1.017,1.019,424457.0
2026-02-22 13:00:00+00:00,1.019,1.022,1.014,1.016,597631.0
2026-02-22 14:00:00+00:00,1.016,1.017,1.006,1.009,313893.0
2026-02-22 15:00:00+00:00,1.009,1.018,1.005,1.014,594563.0
2026-02-22 16:00:00+00:00,1.014,1.02,1.01,1.018,90832.0
2026-02-22 17:00:00+00:00,1.018,1.021,1.011,1.013,174891.0
2026-02-22 18:00:00+00:00,1.013,1.014,1.011,1.012,39588.0
2026-02-22 19:00:00+00:00,1.012,1.014,1.008,1.01,454774.0
2026-02-22 20:00:00+00:00,1.01,1.014,1.004,1.005,501793.0
2026-02-22 21:00:00+00:00,1.005,1.011,1.004,1.009,48762.0
2026-02-22 22:00:00+00:00,1.009,1.016,1.008,1.015,96856.0
2026-02-22 23:00:00+00:00,1.015,1.022,1.012,1.022,249445.0
2026-02-23 00:00:00+00:00,1.022,1.028,1.009,1.01,467217.0
2026-02-23 01:00:00+00:00,1.01,1.011,0.973,0.975,3044876.0
2026-02-23 02:00:00+00:00,0.975,0.987,0.971,0.983,542604.0
2026-02-23 03:00:00+00:00,0.983,0.993,0.98,0.985,293726.0
2026-02-23 04:00:00+00:00,0.985,0.987,0.98,0.981,44671.0
2026-02-23 05:00:00+00:00,0.981,0.995,0.981,0.992,403810.0
2026-02-23 06:00:00+00:00,0.992,1.02,0.991,1.007,158321.0
2026-02-23 07:00:00+00:00,1.007,1.008,1.0,1.002,481318.0
2026-02-23 08:00:00+00:00,1.002,1.002,0.993,0.996,398338.0
2026-02-23 09:00:00+00:00,0.996,1.016,0.995,1.012,397776.0
2026-02-23 10:00:00+00:00,1.012,1.014,1.006,1.007,212820.0
2026-02-23 11:00:00+00:00,1.007,1.013,1.005,1.008,73727.0
2026-02-23 12:00:00+00:00,1.008,1.02,1.007,1.013,789921.0
2026-02-23 13:00:00+00:00,1.013,1.015,1.003,1.005,426265.0
2026-02-23 14:00:00+00:00,1.005,1.006,0.995,0.997,391644.0
2026-02-23 15:00:00+00:00,0.997,1.0,0.984,0.987,1166135.0
2026-02-23 16:00:00+00:00,0.987,0.991,0.978,0.98,642572.0
2026-02-23 17:00:00+00:00,0.98,0.984,0.967,0.98,2053894.0
2026-02-23 18:00:00+00:00,0.98,0.988,0.976,0.978,596049.0
2026-02-23 19:00:00+00:00,0.978,0.98,0.968,0.971,650641.0
2026-02-23 20:00:00+00:00,0.971,0.977,0.963,0.976,559800.0
2026-02-23 21:00:00+00:00,0.976,0.982,0.974,0.98,132175.0
2026-02-23 22:00:00+00:00,0.98,0.987,0.979,0.982,231043.0
2026-02-23 23:00:00+00:00,0.982,0.986,0.976,0.981,115647.0
2026-02-24 00:00:00+00:00,0.981,0.992,0.98,0.989,104908.0
2026-02-24 01:00:00+00:00,0.989,0.992,0.964,0.983,1063869.0
2026-02-24 02:00:00+00:00,0.983,0.986,0.977,0.981,172061.0
2026-02-24 03:00:00+00:00,0.981,0.981,0.972,0.977,101114.0
2026-02-24 04:00:00+00:00,0.977,0.978,0.967,0.974,378065.0
2026-02-24 05:00:00+00:00,0.974,0.979,0.965,0.972,896809.0
2026-02-24 06:00:00+00:00,0.972,0.974,0.967,0.969,64664.0
2026-02-24 07:00:00+00:00,0.969,0.976,0.967,0.973,75824.0
2026-02-24 08:00:00+00:00,0.973,0.978,0.968,0.976,147752.0
2026-02-24 09:00:00+00:00,0.976,0.977,0.968,0.975,128744.0
2026-02-24 10:00:00+00:00,0.975,0.975,0.97,0.973,155382.0
2026-02-24 11:00:00+00:00,0.973,0.975,0.969,0.971,94947.0
