ts,open,high,low,close,volume
2026-02-19 20:00:00+00:00,81.91,82.32,81.63,82.06,8967789.0
2026-02-19 21:00:00+00:00,82.06,82.14,81.77,82.01,4344156.0
2026-02-19 22:00:00+00:00,82.01,82.5,81.86,82.28,6554814.0
2026-02-19 23:00:00+00:00,82.28,82.52,82.07,82.46,4571405.0
2026-02-20 00:00:00+00:00,82.46,83.64,82.23,82.84,11010117.0
2026-02-20 01:00:00+00:00,82.84,83.1,82.64,82.95,3944723.0
2026-02-20 02:00:00+00:00,82.95,83.3,82.75,82.86,4115577.0
2026-02-20 03:00:00+00:00,82.86,83.31,82.79,82.97,3456315.0
2026-02-20 04:00:00+00:00,82.97,83.05,82.33,82.62,3628772.0
2026-02-20 05:00:00+00:00,82.62,83.7,82.45,83.22,4738147.0
2026-02-20 06:00:00+00:00,83.22,83.68,83.1,83.67,4822438.0
2026-02-20 07:00:00+00:00,83.67,83.88,83.34,83.39,4359343.0
2026-02-20 08:00:00+00:00,83.39,83.75,83.24,83.6,4493554.0
2026-02-20 09:00:00+00:00,83.6,84.46,83.57,84.15,7892037.0
2026-02-20 10:00:00+00:00,84.15,84.83,83.99,84.06,10851398.0
2026-02-20 11:00:00+00:00,84.06,84.2,83.3,83.5,10097028.0
2026-02-20 12:00:00+00:00,83.5,83.99,83.31,83.67,6343803.0
2026-02-20 13:00:00+00:00,83.67,83.67,81.71,82.16,16075836.0
2026-02-20 14:00:00+00:00,82.16,83.34,82.07,83.01,16320470.0
2026-02-20 15:00:00+00:00,83.01,84.76,82.62,84.33,21535721.0
2026-02-20 16:00:00+00:00,84.33,84.92,83.68,84.44,14081615.0
2026-02-20 17:00:00+00:00,84.44,84.56,82.73,84.45,14959751.0
2026-02-20 18:00:00+00:00,84.45,85.45,83.92,85.19,15968349.0
2026-02-20 19:00:00+00:00,85.19,85.35,84.33,84.71,7677557.0
2026-02-20 20:00:00+00:00,84.71,85.19,84.36,84.58,7940082.0
2026-02-20 21:00:00+00:00,84.58,84.72,84.26,84.52,5691944.0
2026-02-20 22:00:00+00:00,84.52,84.74,84.06,84.56,4850867.0
2026-02-20 23:00:00+00:00,84.56,84.68,84.25,84.63,3647019.0
2026-02-21 00:00:00+00:00,84.63,84.71,84.29,84.39,2585925.0
2026-02-21 01:00:00+00:00,84.39,84.8,84.39,84.63,2762383.0
2026-02-21 02:00:00+00:00,84.63,84.98,84.48,84.76,3330313.0
2026-02-21 03:00:00+00:00,84.76,84.79,84.16,84.29,4494805.0
2026-02-21 04:00:00+00:00,84.29,84.46,84.08,84.35,2653240.0
2026-02-21 05:00:00+00:00,84.35,84.54,84.33,84.43,1899759.0
2026-02-21 06:00:00+00:00,84.43,84.74,83.97,84.08,3397220.0
2026-02-21 07:00:00+00:00,84.08,84.29,83.91,84.17,2424286.0
2026-02-21 08:00:00+00:00,84.17,84.71,84.14,84.66,3419928.0
2026-02-21 09:00:00+00:00,84.66,85.16,84.6,84.86,5738228.0
2026-02-21 10:00:00+00:00,84.86,85.24,84.84,85.11,3553459.0
2026-02-21 11:00:00+00:00,85.11,85.66,85.09,85.34,6570550.0
2026-02-21 12:00:00+00:00,85.34,85.5,84.96,85.26,5546524.0
2026-02-21 13:00:00+00:00,85.26,85.92,85.12,85.81,4807256.0
2026-02-21 14:00:00+00:00,85.81,86.61,85.58,86.26,12213952.0
2026-02-21 15:00:00+00:00,86.26,86.7,86.12,86.52,8846782.0
2026-02-21 16:00:00+00:00,86.52,86.62,85.81,86.09,10875104.0
2026-02-21 17:00:00+00:00,86.09,86.42,85.77,86.19,7901732.0
2026-02-21 18:00:00+00:00,86.19,86.67,86.13,86.52,5362266.0
2026-02-21 19:00:00+00:00,86.52,86.65,86.13,86.16,6361049.0
2026-02-21 20:00:00+00:00,86.16,86.18,85.22,85.41,9858390.0
2026-02-21 21:00:00+00:00,85.41,85.82,85.36,85.8,4473344.0
2026-02-21 22:00:00+00:00,85.8,85.85,85.32,85.41,4746826.0
2026-02-21 23:00:00+00:00,85.41,85.52,85.08,85.14,4831402.0
2026-02-22 00:00:00+00:00,85.14,85.18,84.69,85.02,7326093.0
2026-02-22 01:00:00+00:00,85.02,85.37,85.0,85.28,5278676.0
2026-02-22 02:00:00+00:00,85.28,85.56,84.8,84.91,4202259.0
2026-02-22 03:00:00+00:00,84.91,85.11,84.68,85.02,5052524.0
2026-02-22 04:00:00+00:00,85.02,85.3,84.91,85.1,2630131.0
2026-02-22 05:00:00+00:00,85.1,85.16,84.73,84.93,2067692.0
2026-02-22 06:00:00+00:00,84.93,85.28,84.86,85.24,3225727.0
2026-02-22 07:00:00+00:00,85.24,85.49,85.08,85.2,4111299.0
2026-02-22 08:00:00+00:00,85.2,85.21,84.81,84.94,4397069.0
2026-02-22 09:00:00+00:00,84.94,85.13,84.88,84.97,2848472.0
2026-02-22 10:00:00+00:00,84.97,85.26,84.93,85.17,4924733.0
2026-02-22 11:00:00+00:00,85.17,85.41,85.1,85.2,4166234.0
2026-02-22 12:00:00+00:00,85.2,85.27,84.26,84.41,11253051.0
2026-02-22 13:00:00+00:00,84.41,84.58,83.66,83.95,11564011.0
2026-02-22 14:00:00+00:00,83.95,84.02,83.34,83.6,10431249.0
2026-02-22 15:00:00+00:00,83.6,83.69,82.95,83.44,8125189.0
2026-02-22 16:00:00+00:00,83.44,83.57,83.13,83.53,5702589.0
2026-02-22 17:00:00+00:00,83.53,83.56,82.76,83.01,8546132.0
2026-02-22 18:00:00+00:00,83.01,83.24,82.91,83.16,5860612.0
2026-02-22 19:00:00+00:00,83.16,83.36,82.98,83.25,5870497.0
2026-02-22 20:00:00+00:00,83.25,83.33,82.9,82.98,6257806.0
2026-02-22 21:00:00+00:00,82.98,83.57,82.98,83.45,7045664.0
2026-02-22 22:00:00+00:00,83.45,83.66,83.03,83.51,7572738.0
2026-02-22 23:00:00+00:00,83.51,83.61,82.43,82.74,11959655.0
2026-02-23 00:00:00+00:00,82.74,82.81,81.24,81.34,16156737.0
2026-02-23 01:00:00+00:00,81.34,81.34,77.43,77.9,25741425.0
2026-02-23 02:00:00+00:00,77.9,78.37,77.46,77.79,11443417.0
2026-02-23 03:00:00+00:00,77.79,78.21,77.2,77.56,8927562.0
2026-02-23 04:00:00+00:00,77.56,77.66,77.07,77.3,5717185.0
2026-02-23 05:00:00+00:00,77.3,77.98,77.25,77.75,7075382.0
2026-02-23 06:00:00+00:00,77.75,79.1,77.56,79.0,9067524.0
2026-02-23 07:00:00+00:00,79.0,79.63,78.83,79.33,7642339.0
2026-02-23 08:00:00+00:00,79.33,79.33,78.44,78.68,7599643.0
2026-02-23 09:00:00+00:00,78.68,80.47,78.68,80.4,14958727.0
2026-02-23 10:00:00+00:00,80.4,80.63,80.03,80.2,10573035.0
2026-02-23 11:00:00+00:00,80.2,80.49,79.9,79.99,5668181.0
2026-02-23 12:00:00+00:00,79.99,80.93,79.81,80.65,9583323.0
2026-02-23 13:00:00+00:00,80.65,81.07,80.37,80.48,7956695.0
2026-02-23 14:00:00+00:00,80.48,80.74,79.37,80.08,16064911.0
2026-02-23 15:00:00+00:00,80.08,80.29,79.18,79.36,11358545.0
2026-02-23 16:00:00+00:00,79.36,79.76,78.61,78.92,17044264.0
2026-02-23 17:00:00+00:00,78.92,79.1,77.22,78.29,18840255.0
2026-02-23 18:00:00+00:00,78.29,79.25,78.0,78.58,14449634.0
2026-02-23 19:00:00+00:00,78.58,78.86,77.92,78.24,13661833.0
2026-02-23 20:00:00+00:00,78.24,78.49,77.8,78.25,10523023.0
2026-02-23 21:00:00+00:00,78.25,78.66,78.13,78.33,6717588.0
2026-02-23 22:00:00+00:00,78.33,78.87,78.2,78.22,6261548.0
2026-02-23 23:00:00+00:00,78.22,78.5,77.57,77.86,6604591.0
2026-02-24 00:00:00+00:00,77.86,78.47,77.85,78.4,4849061.0
2026-02-24 01:00:00+00:00,78.4,78.42,75.7,77.62,14671575.0
2026-02-24 02:00:00+00:00,77.62,78.37,77.45,77.6,6179938.0
2026-02-24 03:00:00+00:00,77.6,77.6,76.43,76.84,8984257.0
2026-02-24 04:00:00+00:00,76.84,77.03,76.04,76.8,7051399.0
2026-02-24 05:00:00+00:00,76.8,77.29,76.15,76.59,7118083.0
2026-02-24 06:00:00+00:00,76.59,76.89,76.32,76.55,6970150.0
2026-02-24 07:00:00+00:00,76.55,77.17,76.45,76.81,5687767.0
2026-02-24 08:00:00+00:00,76.81,77.15,76.43,76.99,5967041.0
2026-02-24 09:00:00+00:00,76.99,77.11,75.91,76.63,9884626.0
2026-02-24 10:00:00+00:00,76.63,76.79,76.32,76.71,5203773.0
2026-02-24 11:00:00+00:00,76.71,76.86,76.44,76.72,4935252.0
2026-02-24 12:00:00+00:00,76.72,77.02,76.44,76.55,8647728.0
2026-02-24 13:00:00+00:00,76.55,76.76,76.01,76.51,9585857.0
2026-02-24 14:00:00+00:00,76.51,77.38,75.59,76.83,20814916.0
2026-02-24 15:00:00+00:00,76.83,77.45,76.55,77.27,13418834.0
2026-02-24 16:00:00+00:00,77.27,78.2,77.17,78.09,15719238.0
2026-02-24 17:00:00+00:00,78.09,78.45,77.74,77.92,11687489.0
2026-02-24 18:00:00+00:00,77.92,78.28,77.51,78.13,9844906.0
2026-02-24 19:00:00+00:00,78.13,78.47,77.83,78.33,8858201.0
2026-02-24 20:00:00+00:00,78.33,78.84,78.28,78.61,10056998.0
2026-02-24 21:00:00+00:00,78.61,78.68,78.06,78.48,8946968.0
2026-02-24 22:00:00+00:00,78.48,79.33,78.39,79.0,8561091.0
2026-02-24 23:00:00+00:00,79.0,79.56,78.59,78.9,8240181.0
2026-02-25 00:00:00+00:00,78.9,79.36,78.66,79.13,5195882.0
2026-02-25 01:00:00+00:00,79.13,82.5,79.04,81.95,16885487.0
2026-02-25 02:00:00+00:00,81.95,82.87,81.95,82.42,8156542.0
2026-02-25 03:00:00+00:00,82.42,82.52,81.58,81.72,5303559.0
2026-02-25 04:00:00+00:00,81.72,82.44,81.26,81.93,6414056.0
2026-02-25 05:00:00+00:00,81.93,82.13,80.95,81.26,7902435.0
2026-02-25 06:00:00+00:00,81.26,81.86,81.12,81.54,7482786.0
2026-02-25 07:00:00+00:00,81.54,82.38,81.45,82.14,8026551.0
2026-02-25 08:00:00+00:00,82.14,82.53,81.88,82.45,7094551.0
2026-02-25 09:00:00+00:00,82.45,82.66,82.18,82.49,6167546.0
2026-02-25 10:00:00+00:00,82.49,82.91,82.41,82.5,9683046.0
2026-02-25 11:00:00+00:00,82.5,83.36,82.28,83.33,9287559.0
2026-02-25 12:00:00+00:00,83.33,84.05,82.85,83.64,12641194.0
2026-02-25 13:00:00+00:00,83.64,84.4,83.33,83.79,10984787.0
2026-02-25 14:00:00+00:00,83.79,85.75,83.75,85.6,22140575.0
2026-02-25 15:00:00+00:00,85.6,86.43,84.98,85.93,21133636.0
2026-02-25 16:00:00+00:00,85.93,87.66,85.92,87.49,24993058.0
2026-02-25 17:00:00+00:00,87.49,88.9,87.36,88.52,22325803.0
2026-02-25 18:00:00+00:00,88.52,89.14,87.95,88.9,19572235.0
2026-02-25 19:00:00+00:00,88.9,89.61,88.31,89.38,16469676.0
2026-02-25 20:00:00+00:00,89.38,90.08,88.92,89.34,14077322.0
2026-02-25 21:00:00+00:00,89.34,92.04,89.34,89.81,19588106.0
2026-02-25 22:00:00+00:00,89.81,90.49,88.33,89.08,16392374.0
2026-02-25 23:00:00+00:00,89.08,89.31,87.05,88.01,17057766.0
2026-02-26 00:00:00+00:00,88.01,89.23,87.79,88.58,13183908.0
2026-02-26 01:00:00+00:00,88.58,89.11,88.16,88.38,8710845.0
2026-02-26 02:00:00+00:00,88.38,88.44,87.46,88.15,9865013.0
2026-02-26 03:00:00+00:00,88.15,88.33,87.73,87.9,3160228.0
2026-02-26 04:00:00+00:00,87.9,88.99,87.8,88.69,4526551.0
2026-02-26 05:00:00+00:00,88.69,88.69,87.18,87.72,6324096.0
2026-02-26 06:00:00+00:00,87.72,87.96,87.32,87.59,4588595.0
2026-02-26 07:00:00+00:00,87.59,87.84,87.18,87.22,5289576.0
2026-02-26 08:00:00+00:00,87.22,87.82,87.2,87.24,6649349.0
2026-02-26 09:00:00+00:00,87.24,88.65,87.16,88.28,7778634.0
2026-02-26 10:00:00+00:00,88.28,88.54,87.21,87.4,8359915.0
2026-02-26 11:00:00+00:00,87.4,87.57,86.54,86.75,7346032.0
2026-02-26 12:00:00+00:00,86.75,87.74,86.66,87.63,7569630.0
2026-02-26 13:00:00+00:00,87.63,88.04,87.41,87.57,7542275.0
2026-02-26 14:00:00+00:00,87.57,88.19,86.24,86.99,16697772.0
2026-02-26 15:00:00+00:00,86.99,87.06,85.21,86.51,18997316.0
2026-02-26 16:00:00+00:00,86.51,86.71,84.3,84.51,16484047.0
2026-02-26 17:00:00+00:00,84.51,85.29,84.47,84.85,9797294.0
2026-02-26 18:00:00+00:00,84.85,85.66,84.41,85.33,9403470.0
2026-02-26 19:00:00+00:00,85.33,86.63,85.28,86.41,10790715.0
2026-02-26 20:00:00+00:00,86.41,86.82,85.82,85.98,8945913.0
2026-02-26 21:00:00+00:00,85.98,86.25,85.67,85.9,6365504.0
2026-02-26 22:00:00+00:00,85.9,86.21,85.74,86.09,3937927.0
2026-02-26 23:00:00+00:00,86.09,86.11,85.71,85.86,5114545.0
2026-02-27 00:00:00+00:00,85.86,85.99,85.14,85.8,8256524.0
2026-02-27 01:00:00+00:00,85.8,86.12,85.24,86.09,6430088.0
2026-02-27 02:00:00+00:00,86.09,86.75,85.88,86.52,6344896.0
2026-02-27 03:00:00+00:00,86.52,87.76,86.29,87.57,6523959.0
2026-02-27 04:00:00+00:00,87.57,88.26,87.38,87.48,5945641.0
2026-02-27 05:00:00+00:00,87.48,87.8,87.32,87.48,3908715.0
2026-02-27 06:00:00+00:00,87.48,87.57,86.8,87.28,5141041.0
2026-02-27 07:00:00+00:00,87.28,87.4,86.75,87.27,4698321.0
2026-02-27 08:00:00+00:00,87.27,87.88,87.18,87.52,5638246.0
2026-02-27 09:00:00+00:00,87.52,87.78,86.17,86.27,7911013.0
2026-02-27 10:00:00+00:00,86.27,86.45,84.48,84.65,12092624.0
2026-02-27 11:00:00+00:00,84.65,84.9,83.27,83.55,13950059.0
2026-02-27 12:00:00+00:00,83.55,83.71,82.58,83.06,13534825.0
2026-02-27 13:00:00+00:00,83.06,83.5,81.9,83.01,15894682.0
2026-02-27 14:00:00+00:00,83.01,83.31,82.03,82.32,14846528.0
2026-02-27 15:00:00+00:00,82.32,83.02,82.24,82.64,11515970.0
2026-02-27 16:00:00+00:00,82.64,82.64,81.24,81.3,12999820.0
2026-02-27 17:00:00+00:00,81.3,81.86,81.05,81.79,15730665.0
2026-02-27 18:00:00+00:00,81.79,81.99,81.35,81.46,11845497.0
2026-02-27 19:00:00+00:00,81.46,81.69,81.08,81.53,7521748.0
