ts,open,high,low,close,volume
2023-01-01 00:00:00+00:00,5.165,5.175,5.142,5.151,670978.0
2023-01-01 01:00:00+00:00,5.151,5.158,5.123,5.133,631173.0
2023-01-01 02:00:00+00:00,5.133,5.141,5.126,5.129,515414.0
2023-01-01 03:00:00+00:00,5.129,5.13,5.107,5.117,908749.0
2023-01-01 04:00:00+00:00,5.117,5.125,5.096,5.103,625085.0
2023-01-01 05:00:00+00:00,5.103,5.118,5.094,5.115,482142.0
2023-01-01 06:00:00+00:00,5.115,5.154,5.114,5.141,672073.0
2023-01-01 07:00:00+00:00,5.141,5.148,5.122,5.139,509883.0
2023-01-01 08:00:00+00:00,5.139,5.167,5.135,5.154,487704.0
2023-01-01 09:00:00+00:00,5.154,5.173,5.14,5.172,489234.0
2023-01-01 10:00:00+00:00,5.172,5.176,5.155,5.167,480959.0
2023-01-01 11:00:00+00:00,5.167,5.178,5.157,5.165,437000.0
2023-01-01 12:00:00+00:00,5.165,5.192,5.164,5.182,526011.0
2023-01-01 13:00:00+00:00,5.182,5.185,5.152,5.166,479578.0
2023-01-01 14:00:00+00:00,5.166,5.218,5.164,5.208,751976.0
2023-01-01 15:00:00+00:00,5.208,5.234,5.2,5.205,936617.0
2023-01-01 16:00:00+00:00,5.205,5.207,5.183,5.195,580013.0
2023-01-01 17:00:00+00:00,5.195,5.215,5.191,5.196,609717.0
2023-01-01 18:00:00+00:00,5.196,5.225,5.195,5.22,551327.0
2023-01-01 19:00:00+00:00,5.22,5.242,5.218,5.227,502399.0
2023-01-01 20:00:00+00:00,5.227,5.251,5.225,5.235,521168.0
2023-01-01 21:00:00+00:00,5.235,5.256,5.228,5.249,424244.0
2023-01-01 22:00:00+00:00,5.249,5.264,5.247,5.251,406453.0
2023-01-01 23:00:00+00:00,5.251,5.268,5.234,5.246,606061.0
2023-01-02 00:00:00+00:00,5.246,5.277,5.215,5.219,1154974.0
2023-01-02 01:00:00+00:00,5.219,5.228,5.174,5.197,1496080.0
2023-01-02 02:00:00+00:00,5.197,5.211,5.176,5.196,1058869.0
2023-01-02 03:00:00+00:00,5.196,5.221,5.181,5.214,1025185.0
2023-01-02 04:00:00+00:00,5.214,5.249,5.208,5.248,782733.0
2023-01-02 05:00:00+00:00,5.248,5.277,5.246,5.273,730239.0
2023-01-02 06:00:00+00:00,5.273,5.286,5.237,5.246,633344.0
2023-01-02 07:00:00+00:00,5.246,5.336,5.231,5.28,3213637.0
2023-01-02 08:00:00+00:00,5.28,5.322,5.278,5.315,1135653.0
2023-01-02 09:00:00+00:00,5.315,5.343,5.293,5.303,1247255.0
2023-01-02 10:00:00+00:00,5.303,5.318,5.281,5.291,699784.0
2023-01-02 11:00:00+00:00,5.291,5.3,5.264,5.299,616866.0
2023-01-02 12:00:00+00:00,5.299,5.316,5.294,5.305,624063.0
2023-01-02 13:00:00+00:00,5.305,5.339,5.304,5.331,697458.0
2023-01-02 14:00:00+00:00,5.331,5.371,5.319,5.365,790728.0
2023-01-02 15:00:00+00:00,5.365,5.397,5.336,5.394,1071916.0
2023-01-02 16:00:00+00:00,5.394,5.462,5.376,5.39,1992957.0
2023-01-02 17:00:00+00:00,5.39,5.407,5.385,5.397,577172.0
2023-01-02 18:00:00+00:00,5.397,5.417,5.385,5.406,485922.0
2023-01-02 19:00:00+00:00,5.406,5.432,5.405,5.431,468964.0
2023-01-02 20:00:00+00:00,5.431,5.435,5.414,5.421,496204.0
2023-01-02 21:00:00+00:00,5.421,5.439,5.408,5.425,685393.0
2023-01-02 22:00:00+00:00,5.425,5.431,5.345,5.351,1379102.0
2023-01-02 23:00:00+00:00,5.351,5.38,5.347,5.368,766664.0
2023-01-03 00:00:00+00:00,5.368,5.414,5.366,5.407,705928.0
2023-01-03 01:00:00+00:00,5.407,5.408,5.35,5.357,895801.0
2023-01-03 02:00:00+00:00,5.357,5.377,5.356,5.357,567528.0
2023-01-03 03:00:00+00:00,5.357,5.41,5.344,5.391,1995008.0
