ts,open,high,low,close,volume
2023-04-07 20:00:00+00:00,157.29,157.3,156.14,156.14,6306.0
2023-04-07 21:00:00+00:00,156.14,157.02,156.11,156.75,9149.0
2023-04-07 22:00:00+00:00,156.75,157.17,156.53,156.87,3638.0
2023-04-07 23:00:00+00:00,156.87,156.98,156.52,156.52,2696.0
2023-04-08 00:00:00+00:00,156.52,157.4,156.52,157.25,8769.0
2023-04-08 01:00:00+00:00,157.25,157.45,157.0,157.22,32624.0
2023-04-08 02:00:00+00:00,157.22,157.6,157.16,157.6,6345.0
2023-04-08 03:00:00+00:00,157.6,157.81,157.36,157.63,2397.0
2023-04-08 04:00:00+00:00,157.63,157.87,157.41,157.41,7538.0
2023-04-08 05:00:00+00:00,157.41,158.17,157.31,158.17,8810.0
2023-04-08 06:00:00+00:00,158.17,158.28,157.74,158.06,43921.0
2023-04-08 07:00:00+00:00,158.06,158.27,157.72,157.9,5295.0
2023-04-08 08:00:00+00:00,157.9,158.24,157.79,157.8,2622.0
2023-04-08 09:00:00+00:00,157.8,158.71,157.63,158.43,15219.0
2023-04-08 10:00:00+00:00,158.43,158.77,158.38,158.68,29621.0
2023-04-08 11:00:00+00:00,158.68,158.91,158.36,158.47,90559.0
2023-04-08 12:00:00+00:00,158.47,158.88,157.9,158.62,19058.0
2023-04-08 13:00:00+00:00,158.62,158.76,158.15,158.34,77299.0
2023-04-08 14:00:00+00:00,158.34,158.63,157.95,157.98,2412.0
2023-04-08 15:00:00+00:00,157.98,158.23,157.69,158.01,2864.0
2023-04-08 16:00:00+00:00,158.01,158.68,157.95,158.64,50580.0
2023-04-08 17:00:00+00:00,158.64,158.97,158.17,158.24,34012.0
2023-04-08 18:00:00+00:00,158.24,158.81,157.82,157.84,78750.0
2023-04-08 19:00:00+00:00,157.84,158.25,157.69,158.01,43264.0
2023-04-08 20:00:00+00:00,158.01,158.29,157.75,158.13,3251.0
2023-04-08 21:00:00+00:00,158.13,158.42,157.82,157.82,2272.0
2023-04-08 22:00:00+00:00,157.82,158.07,157.38,158.04,14571.0
2023-04-08 23:00:00+00:00,158.04,158.36,157.95,158.15,3918.0
2023-04-09 00:00:00+00:00,158.15,158.46,158.1,158.16,2469.0
2023-04-09 01:00:00+00:00,158.16,158.87,158.1,158.65,16254.0
2023-04-09 02:00:00+00:00,158.65,158.8,158.61,158.72,2922.0
2023-04-09 03:00:00+00:00,158.72,158.93,158.53,158.6,17234.0
2023-04-09 04:00:00+00:00,158.6,159.06,158.57,158.93,30207.0
2023-04-09 05:00:00+00:00,158.93,159.34,158.58,158.71,68088.0
2023-04-09 06:00:00+00:00,158.71,158.81,157.74,157.97,14541.0
2023-04-09 07:00:00+00:00,157.97,158.06,157.6,157.6,2983.0
2023-04-09 08:00:00+00:00,157.6,158.19,157.6,158.01,6084.0
2023-04-09 09:00:00+00:00,158.01,158.17,157.64,158.05,4856.0
2023-04-09 10:00:00+00:00,158.05,158.32,157.83,157.9,8539.0
2023-04-09 11:00:00+00:00,157.9,158.46,157.82,158.36,5533.0
2023-04-09 12:00:00+00:00,158.36,158.6,158.24,158.57,5862.0
