coin,kol,yon,cikis,bar,giris,tf,adx14,atr_pct,atr_norm,er20,er50,kanal_konum,kanal_atr,ic_oran40,rvol20,ema200_atr,get20,btc_adx,btc_er20,btc_get20,btc_atr_pct,btc_ic40,R,slp,cikis_ts,eff,pnl_pct,ay,fund,f_yon,f_z,fz_yon,giris_ts,chop
TRX,squeeze,-1,sl,5,2023-04-21 20:00:00+00:00,1h,24.78131911489522,0.0059792282292299,1.1052410618670871,0.2988505747126437,0.1245487364620945,0.0173913043478253,5.978629607825511,0.975,0.0037026836636967,-4.02705700194165,-0.015907005200367,58.37539823956413,0.4690012011457096,-0.0358989228908676,0.0091113692591747,0.925,-1.0167245664768476,0.0119584564584599,2023-04-22 01:00:00+00:00,0.0179376846876899,-1.8237684687689992,2023-04,3.41e-05,-3.41e-05,0.1015014691020523,-0.1015014691020523,2023-04-21 20:00:00+00:00,42.51537682231371
XLM,squeeze,-1,sl,18,2023-04-21 20:00:00+00:00,1h,45.763686368032126,0.0120280243725747,1.475569390350971,0.4219512195121933,0.3080808080808072,0.2780429594272075,7.550734478437567,0.975,0.0061490787572703,-8.200552487194967,-0.0361433197534731,58.37539823956413,0.4690012011457096,-0.0358989228908676,0.0091113692591747,0.925,-1.0083139173069868,0.0240560487451495,2023-04-22 14:00:00+00:00,0.028,-2.823278968459563,2023-04,8.52e-05,-8.52e-05,0.1861651868042304,-0.1861651868042304,2023-04-21 20:00:00+00:00,32.79768236493528
XRP,squeeze,-1,sure,48,2023-04-20 16:00:00+00:00,1h,47.709224455097136,0.0135706153382732,1.441478533367878,0.4067796610169499,0.323979591836735,0.0848920863309354,10.90114839496116,0.975,0.008281500283748,-6.189093756431432,-0.0486026731470231,58.917769857979565,0.3929949539922816,-0.0271840673442151,0.0088835192825195,0.975,0.03184390139777,0.0271412306765464,2023-04-22 16:00:00+00:00,0.028,0.089162923913756,2023-04,0.0001,-0.0001,0.1399180684584268,-0.1399180684584268,2023-04-20 16:00:00+00:00,32.15231845365547
DOGE,squeeze,-1,sure,48,2023-04-21 19:00:00+00:00,1h,49.22285325233653,0.0169194933464494,0.9005576194682595,0.4911242603550309,0.2500000000000003,0.0450097847358118,11.489417953050204,0.925,0.009957280919072,-6.882646581251468,-0.059398854961832,57.608538249206205,0.4342427263663568,-0.0339427344765657,0.0091653159547016,0.925,0.3875628751059086,0.0338389866928988,2023-04-23 19:00:00+00:00,0.028,1.0851760502965442,2023-04,0.0001,-0.0001,0.4912006356800494,-0.4912006356800494,2023-04-21 19:00:00+00:00,34.132890378304616
TRX,squeeze,-1,sl,6,2023-04-25 14:00:00+00:00,1h,24.953343611287693,0.0037986604586861,0.7564574069737454,0.6183206106870202,0.2511848341232212,0.0689655172413842,7.012495508802238,0.975,0.0014722135469045,-2.573501374184236,-0.0122486012399817,10.630433819431405,0.0430019172829347,-0.0017235637883272,0.0061078095555895,0.95,-1.0263250693468244,0.0075973209173723,2023-04-25 20:00:00+00:00,0.0113959813760584,-1.1695981376058322,2023-04,-3.777e-05,3.777e-05,-0.2200214072396813,0.2200214072396813,2023-04-25 14:00:00+00:00,46.567135615865496
XRP,squeeze,1,sl,23,2023-04-25 20:00:00+00:00,1h,21.14690776552711,0.0099923825337675,0.9046850343702256,0.3065902578796559,0.1087771942985748,0.8461538461538461,5.544389625061022,0.975,0.0051172100519394,-1.351822809763932,0.0233318796336676,15.591439205599956,0.3315697786954003,0.0187228120286508,0.0072353408279293,0.925,-1.0100076232732338,0.019984765067535,2023-04-26 19:00:00+00:00,0.028,-2.8280213451650544,2023-04,5.996e-05,5.996e-05,-0.1754510249160679,-0.1754510249160679,2023-04-25 20:00:00+00:00,44.19573608529339
XRP,squeeze,1,sure,48,2023-04-27 21:00:00+00:00,1h,23.289888219921927,0.0104711552328189,0.916962537316504,0.1634980988593131,0.0196969696969695,0.664705882352941,10.456253265325213,0.925,0.0037361149653043,-1.2005518242069595,0.00931744312026,25.92819295107538,0.3707042021648754,0.0313501773389071,0.0126547341330333,0.9,1.2821047704794115,0.0209423104656379,2023-04-29 21:00:00+00:00,0.028,3.5898933573423526,2023-04,8.055e-05,8.055e-05,-0.0132769581682944,-0.0132769581682944,2023-04-27 21:00:00+00:00,53.134048881062334
LTC,bb,-1,tp,31,2023-04-29 13:00:00+00:00,1h,19.582898359116488,0.0066449587324082,0.6555423933092065,0.4238095238095195,0.1825340014316381,0.9073033707865172,5.898320884200423,0.975,0.0031199339974388,1.7687597389044678,0.0199887703537338,10.376683553003373,0.1990778410631966,0.0050230794762038,0.0045481659361056,1.0,1.65696955570631,0.019939296220994,2023-04-30 20:00:00+00:00,0.028,4.639514755977668,2023-04,0.0001,-0.0001,0.2541149472454118,-0.2541149472454118,2023-04-29 13:00:00+00:00,48.63360438071129
XRP,squeeze,-1,tp,20,2023-04-30 23:00:00+00:00,1h,20.426841415963104,0.0064950247966716,0.6964044007324535,0.1834862385321099,0.1337792642140465,0.1328671328671339,4.683440129451704,1.0,0.0030384929995517,-1.1715314123548626,-0.0084370385994515,21.89165201728815,0.037015102161682,0.0017142073505211,0.0057575484466115,0.975,2.4846035999660443,0.0129900495933433,2023-05-01 19:00:00+00:00,0.019485074390015,4.84126859750375,2023-05,0.0001,-0.0001,0.1399180684584268,-0.1399180684584268,2023-04-30 23:00:00+00:00,45.027251900584766
TRX,squeeze,1,sl,20,2023-05-01 06:00:00+00:00,1h,29.22343857758338,0.0063092992346131,1.43774149593182,0.1538461538461557,0.1238095238095248,0.7432432432432428,5.147185202086885,0.925,0.0038906802666902,4.129216791103096,0.0088547815820543,31.102085617681844,0.2687134378069097,-0.0215435492595154,0.0077783349864864,0.95,-1.015849620739392,0.0126185984692263,2023-05-02 02:00:00+00:00,0.0189278977038395,-1.922789770383945,2023-05,-0.0001175,-0.0001175,-0.5767073531242843,-0.5767073531242843,2023-05-01 06:00:00+00:00,40.82393997145336
