symbol,side,entry_price,exit_price,sl_price,quantity,entry_time,exit_time,pnl_usdt,exit_reason,strategy_scores,giris,cikis,R,kol
NEAR/USDT:USDT,long,2.001,1.980137413086333,1.9801849375248335,7496.251,2023-04-07T16:00:00+00:00,2023-04-08T03:00:00+00:00,-157.87554872046127,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.019383541583888577, ""slot"": ""NEAR/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 2.001, ""sl0"": 1.9801849375248335, ""max_hold"": 24}",2023-04-07 16:00:00+00:00,2023-04-08 03:00:00+00:00,-1.0022831753955692,fvg
XRP/USDT:USDT,long,0.5103075574999999,0.5005526386893074,0.5005646522409612,29352.35,2023-04-07T18:00:00+00:00,2023-04-09T16:00:00+00:00,-289.2969033809905,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 1.0, ""confidence"": 1.0, ""strategy"": ""squeeze"", ""atr"": 0.004467673879519374, ""slot"": ""XRP/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.5095, ""sl0"": 0.5005646522409612}",2023-04-07 18:00:00+00:00,2023-04-09 16:00:00+00:00,-1.0012330563968757,squeeze
DOGE/USDT:USDT,short,0.08373,0.08034970672819675,0.0850821173087213,176314.987,2023-04-08T03:00:00+00:00,2023-04-08T20:00:00+00:00,594.5796785244544,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.0010737243624043273, ""slot"": ""DOGE/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.08373, ""sl0"": 0.0850821173087213, ""max_hold"": 24}",2023-04-08 03:00:00+00:00,2023-04-08 20:00:00+00:00,2.5000000000000053,fvg
SOL/USDT:USDT,short,20.365,20.472206976249243,20.47171565507352,724.913,2023-04-08T03:00:00+00:00,2023-04-08T05:00:00+00:00,-79.19978767134609,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.12571885024506835, ""slot"": ""SOL/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 20.365, ""sl0"": 20.47171565507352, ""max_hold"": 24}",2023-04-08 03:00:00+00:00,2023-04-08 05:00:00+00:00,-1.0046040215503922,fvg
NEAR/USDT:USDT,long,2.013,1.9981228378520224,1.9981707939510773,7393.319,2023-04-08T04:00:00+00:00,2023-04-08T06:00:00+00:00,-111.46888152886554,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.016097353496409582, ""slot"": ""NEAR/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 2.013, ""sl0"": 1.9981707939510773, ""max_hold"": 24}",2023-04-08 04:00:00+00:00,2023-04-08 06:00:00+00:00,-1.003233895253511,fvg
LTC/USDT:USDT,short,91.05,90.4521708,92.49821603820814,161.021,2023-04-08T07:00:00+00:00,2023-04-10T08:00:00+00:00,94.80658571376011,max_hold,"{""trend"": 0.0, ""mean_rev"": -0.6107080965897472, ""breakout"": 0.0, ""confidence"": 0.6107080965897472, ""strategy"": ""mean_rev"", ""atr"": 0.4827386794027169, ""slot"": ""LTC/USDT:USDT"", ""entry_fee_rate"": 0.0, ""intended_entry"": 91.05, ""sl0"": 92.49821603820814}",2023-04-08 07:00:00+00:00,2023-04-10 08:00:00+00:00,0.41280388024129144,mean_rev
ADA/USDT:USDT,long,0.3882,0.3857696044445038,0.3857788631372191,37585.159,2023-04-08T08:00:00+00:00,2023-04-08T20:00:00+00:00,-92.79672457825858,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.0027371228759363085, ""slot"": ""ADA/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.3882, ""sl0"": 0.3857788631372191, ""max_hold"": 24}",2023-04-08 08:00:00+00:00,2023-04-08 20:00:00+00:00,-1.0038241095981049,fvg
NEAR/USDT:USDT,short,1.995,1.9399685720698217,2.0170125711720717,7494.552,2023-04-08T18:00:00+00:00,2023-04-09T09:00:00+00:00,410.9819787228005,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.013375237240238775, ""slot"": ""NEAR/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 1.995, ""sl0"": 2.0170125711720717, ""max_hold"": 24}",2023-04-08 18:00:00+00:00,2023-04-09 09:00:00+00:00,2.49999999999998,fvg
BNB/USDT:USDT,short,310.87,311.7207545896209,311.7132734710576,50.642,2023-04-08T21:00:00+00:00,2023-04-09T04:00:00+00:00,-44.662530172975366,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.7442449035253588, ""slot"": ""BNB/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 310.87, ""sl0"": 311.7132734710576, ""max_hold"": 24}",2023-04-08 21:00:00+00:00,2023-04-09 04:00:00+00:00,-1.0088715213036674,fvg
DOGE/USDT:USDT,short,0.0816,0.08227151277608914,0.08226953830716977,192932.553,2023-04-08T21:00:00+00:00,2023-04-09T03:00:00+00:00,-131.1439595629008,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.7, ""confidence"": 0.7, ""strategy"": ""fvg"", ""atr"": 0.0007984610238992135, ""slot"": ""DOGE/USDT:USDT:fvg"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.0816, ""sl0"": 0.08226953830716977, ""max_hold"": 24}",2023-04-08 21:00:00+00:00,2023-04-09 03:00:00+00:00,-1.0029490006743957,fvg
