symbol,side,entry_price,exit_price,sl_price,quantity,entry_time,exit_time,pnl_usdt,exit_reason,strategy_scores,giris,cikis,R,kol
ADA/USDT:USDT,long,0.3831,0.3803908704,0.3786,39154.267,2023-04-07T16:00:00+00:00,2023-04-07T23:00:00+00:00,-107.56337626640246,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.8, ""confidence"": 0.8, ""strategy"": ""orb"", ""atr"": 0.002812752762925465, ""slot"": ""ADA/USDT:USDT:orb"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.3831, ""sl0"": 0.3786, ""max_hold"": 6}",2023-04-07 16:00:00+00:00,2023-04-07 23:00:00+00:00,-0.602028799999993,orb
BNB/USDT:USDT,short,310.35,311.007464,311.0,48.067,2023-04-07T17:00:00+00:00,2023-04-07T18:00:00+00:00,-33.09724166520901,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.8, ""confidence"": 0.8, ""strategy"": ""orb"", ""atr"": 0.9451583577586781, ""slot"": ""BNB/USDT:USDT:orb"", ""entry_fee_rate"": 0.0, ""intended_entry"": 310.35, ""sl0"": 311.0, ""max_hold"": 6}",2023-04-07 17:00:00+00:00,2023-04-07 18:00:00+00:00,-1.0114830769231191,orb
DOGE/USDT:USDT,short,0.08228,0.08261198264000001,0.08296,181305.007,2023-04-07T17:00:00+00:00,2023-04-08T00:00:00+00:00,-61.68791147816246,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.8, ""confidence"": 0.8, ""strategy"": ""orb"", ""atr"": 0.0013471335374369692, ""slot"": ""DOGE/USDT:USDT:orb"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.08228, ""sl0"": 0.08296, ""max_hold"": 6}",2023-04-07 17:00:00+00:00,2023-04-08 00:00:00+00:00,-0.48820976470589095,orb
ETH/USDT:USDT,short,1852.33,1862.6747031200002,1862.63,8.053,2023-04-07T17:00:00+00:00,2023-04-08T00:00:00+00:00,-84.80590616378498,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.8, ""confidence"": 0.8, ""strategy"": ""orb"", ""atr"": 10.867443175621743, ""slot"": ""ETH/USDT:USDT:orb"", ""entry_fee_rate"": 0.0, ""intended_entry"": 1852.33, ""sl0"": 1862.63, ""max_hold"": 6}",2023-04-07 17:00:00+00:00,2023-04-08 00:00:00+00:00,-1.0043401087378758,orb
LTC/USDT:USDT,short,90.23,90.56217344000001,90.82,165.33,2023-04-07T17:00:00+00:00,2023-04-08T00:00:00+00:00,-56.41549924868441,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.8, ""confidence"": 0.8, ""strategy"": ""orb"", ""atr"": 0.5816609295282062, ""slot"": ""LTC/USDT:USDT:orb"", ""entry_fee_rate"": 0.0, ""intended_entry"": 90.23, ""sl0"": 90.82, ""max_hold"": 6}",2023-04-07 17:00:00+00:00,2023-04-08 00:00:00+00:00,-0.563005830508494,orb
NEAR/USDT:USDT,short,2.001,2.017048408,2.017,7455.16,2023-04-07T17:00:00+00:00,2023-04-08T00:00:00+00:00,-121.14719124621905,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.8, ""confidence"": 0.8, ""strategy"": ""orb"", ""atr"": 0.019213288613610813, ""slot"": ""NEAR/USDT:USDT:orb"", ""entry_fee_rate"": 0.0, ""intended_entry"": 2.001, ""sl0"": 2.017, ""max_hold"": 6}",2023-04-07 17:00:00+00:00,2023-04-08 00:00:00+00:00,-1.0030255000000035,orb
XRP/USDT:USDT,long,0.5085,0.5136999999999998,0.5085,33744.823,2023-04-07T18:00:00+00:00,2023-04-07T21:00:00+00:00,173.73960804248566,tp_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.8, ""confidence"": 0.8, ""strategy"": ""orb"", ""atr"": 0.004467673879519374, ""slot"": ""XRP/USDT:USDT:orb"", ""entry_fee_rate"": 0.0, ""intended_entry"": 0.5085, ""sl0"": 0.5059, ""max_hold"": 6}",2023-04-07 18:00:00+00:00,2023-04-07 21:00:00+00:00,,orb
SOL/USDT:USDT,short,20.42,20.387489288,20.639,752.249,2023-04-07T21:00:00+00:00,2023-04-08T04:00:00+00:00,22.922503748347545,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.8, ""confidence"": 0.8, ""strategy"": ""orb"", ""atr"": 0.13462105581531192, ""slot"": ""SOL/USDT:USDT:orb"", ""entry_fee_rate"": 0.0, ""intended_entry"": 20.42, ""sl0"": 20.639, ""max_hold"": 6}",2023-04-07 21:00:00+00:00,2023-04-08 04:00:00+00:00,0.1484507397260315,orb
DOGE/USDT:USDT,long,0.08383266449999999,0.08172024535493867,0.08172220668789919,172221.269,2023-04-08T06:00:00+00:00,2023-04-08T19:00:00+00:00,-366.65467904454067,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.8, ""confidence"": 0.8, ""strategy"": ""squeeze"", ""atr"": 0.0009888966560504043, ""slot"": ""DOGE/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.0837, ""sl0"": 0.08172220668789919}",2023-04-08 06:00:00+00:00,2023-04-08 19:00:00+00:00,-1.0009293400461594,squeeze
LTC/USDT:USDT,short,91.05,90.4521708,92.49821603820814,158.959,2023-04-08T07:00:00+00:00,2023-04-10T08:00:00+00:00,93.5925131409791,max_hold,"{""trend"": 0.0, ""mean_rev"": -0.6107080965897472, ""breakout"": 0.0, ""confidence"": 0.6107080965897472, ""strategy"": ""mean_rev"", ""atr"": 0.4827386794027169, ""slot"": ""LTC/USDT:USDT"", ""entry_fee_rate"": 0.0, ""intended_entry"": 91.05, ""sl0"": 92.49821603820814}",2023-04-08 07:00:00+00:00,2023-04-10 08:00:00+00:00,0.41280388024129144,mean_rev
