symbol,side,entry_price,exit_price,sl_price,quantity,entry_time,exit_time,pnl_usdt,exit_reason,strategy_scores,giris,cikis,R,kol
XRP/USDT:USDT,long,0.5097547499999999,0.5005646522409612,0.5005646522409612,29440.628,2023-04-07T18:00:00+00:00,2023-04-09T16:00:00+00:00,-273.5366931757471,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 1.0, ""confidence"": 1.0, ""strategy"": ""squeeze"", ""atr"": 0.004467673879519374, ""slot"": ""XRP/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.5095}",2023-04-07 18:00:00+00:00,2023-04-09 16:00:00+00:00,-1.0,squeeze
TRX/USDT:USDT,long,0.06613305,0.06638,0.06553476805946172,228762.977,2023-04-07T20:00:00+00:00,2023-04-09T21:00:00+00:00,53.46160918921405,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 1.0, ""confidence"": 1.0, ""strategy"": ""squeeze"", ""atr"": 0.00028261597026914287, ""slot"": ""TRX/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.0661}",2023-04-07 20:00:00+00:00,2023-04-09 21:00:00+00:00,0.41276525876380826,squeeze
DOGE/USDT:USDT,long,0.08374184999999999,0.08172220668789919,0.08172220668789919,142164.139,2023-04-08T06:00:00+00:00,2023-04-08T20:00:00+00:00,-289.4731580673674,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.8, ""confidence"": 0.8, ""strategy"": ""squeeze"", ""atr"": 0.0009888966560504043, ""slot"": ""DOGE/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.0837}",2023-04-08 06:00:00+00:00,2023-04-08 20:00:00+00:00,-1.0,squeeze
LTC/USDT:USDT,short,91.05,90.45,92.49821603820814,165.34,2023-04-08T07:00:00+00:00,2023-04-10T08:00:00+00:00,97.70849969999905,max_hold,"{""trend"": 0.0, ""mean_rev"": -0.6107080965897472, ""breakout"": 0.0, ""confidence"": 0.6107080965897472, ""strategy"": ""mean_rev"", ""atr"": 0.4827386794027169, ""slot"": ""LTC/USDT:USDT"", ""entry_fee_rate"": 0.0, ""intended_entry"": 91.05}",2023-04-08 07:00:00+00:00,2023-04-10 08:00:00+00:00,0.4143028278725356,mean_rev
XRP/USDT:USDT,short,0.5013492,0.5065643369407837,0.5065643369407837,29221.409,2023-04-09T16:00:00+00:00,2023-04-09T21:00:00+00:00,-155.3389149076071,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.84, ""confidence"": 0.84, ""strategy"": ""squeeze"", ""atr"": 0.0024821684703918287, ""slot"": ""XRP/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.5016}",2023-04-09 16:00:00+00:00,2023-04-09 21:00:00+00:00,-1.0,squeeze
LTC/USDT:USDT,short,96.92,99.20149347303825,99.20149347303825,115.765,2023-04-16T10:00:00+00:00,2023-04-16T15:00:00+00:00,-265.26549799546405,sl_hit,"{""trend"": 0.0, ""mean_rev"": -0.6124920936539884, ""breakout"": 0.0, ""confidence"": 0.6124920936539884, ""strategy"": ""mean_rev"", ""atr"": 0.7604978243460845, ""slot"": ""LTC/USDT:USDT"", ""entry_fee_rate"": 0.0, ""intended_entry"": 96.92}",2023-04-16 10:00:00+00:00,2023-04-16 15:00:00+00:00,-1.0,mean_rev
LTC/USDT:USDT,short,98.65,101.30944402718515,101.30944402718515,96.52,2023-04-16T15:00:00+00:00,2023-04-16T17:00:00+00:00,-257.66737625766064,sl_hit,"{""trend"": 0.0, ""mean_rev"": -0.7650646422088285, ""breakout"": 0.0, ""confidence"": 0.7650646422088285, ""strategy"": ""mean_rev"", ""atr"": 0.8864813423950475, ""slot"": ""LTC/USDT:USDT"", ""entry_fee_rate"": 0.0, ""intended_entry"": 98.65}",2023-04-16 15:00:00+00:00,2023-04-16 17:00:00+00:00,-1.0,mean_rev
XLM/USDT:USDT,long,0.10714354499999999,0.10597705489061726,0.10597705489061726,124800.006,2023-04-16T18:00:00+00:00,2023-04-17T02:00:00+00:00,-148.2377178644128,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.96, ""confidence"": 0.96, ""strategy"": ""squeeze"", ""atr"": 0.000556472554691375, ""slot"": ""XLM/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.10709}",2023-04-16 18:00:00+00:00,2023-04-17 02:00:00+00:00,-1.0,squeeze
XRP/USDT:USDT,short,0.4695651,0.4693,0.48255142977408383,19239.114,2023-04-20T17:00:00+00:00,2023-04-22T18:00:00+00:00,3.2939958524482087,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -1.0, ""confidence"": 1.0, ""strategy"": ""squeeze"", ""atr"": 0.006375714887041912, ""slot"": ""XRP/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.4698}",2023-04-20 17:00:00+00:00,2023-04-22 18:00:00+00:00,0.020413773915480354,squeeze
DOGE/USDT:USDT,short,0.07882057,0.07781,0.0815289248074181,94677.655,2023-04-21T20:00:00+00:00,2023-04-23T21:00:00+00:00,94.19545630645888,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.9199999999999999, ""confidence"": 0.9199999999999999, ""strategy"": ""squeeze"", ""atr"": 0.0013344624037090493, ""slot"": ""DOGE/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.07886}",2023-04-21 20:00:00+00:00,2023-04-23 21:00:00+00:00,0.37313057994915855,squeeze
TRX/USDT:USDT,short,0.06430783,0.0651094253829665,0.0651094253829665,219264.332,2023-04-21T21:00:00+00:00,2023-04-22T03:00:00+00:00,-178.59893498551747,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.8, ""confidence"": 0.8, ""strategy"": ""squeeze"", ""atr"": 0.00038471269148325764, ""slot"": ""TRX/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.06434}",2023-04-21 21:00:00+00:00,2023-04-22 03:00:00+00:00,-1.0,squeeze
XLM/USDT:USDT,short,0.09222386500000002,0.09448960789745242,0.09448960789745242,118642.3,2023-04-21T21:00:00+00:00,2023-04-22T16:00:00+00:00,-271.0281601489716,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.88, ""confidence"": 0.88, ""strategy"": ""squeeze"", ""atr"": 0.0011098039487262088, ""slot"": ""XLM/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.09227}",2023-04-21 21:00:00+00:00,2023-04-22 16:00:00+00:00,-1.0,squeeze
TRX/USDT:USDT,short,0.06528734000000001,0.06581643354586937,0.06581643354586937,193114.967,2023-04-25T15:00:00+00:00,2023-04-25T21:00:00+00:00,-104.70769274066265,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": -0.9199999999999999, ""confidence"": 0.9199999999999999, ""strategy"": ""squeeze"", ""atr"": 0.00024821677293468197, ""slot"": ""TRX/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.06532}",2023-04-25 15:00:00+00:00,2023-04-25 21:00:00+00:00,-1.0,squeeze
XRP/USDT:USDT,long,0.46953464999999994,0.45992219934361905,0.45992219934361905,28270.898,2023-04-25T21:00:00+00:00,2023-04-26T21:00:00+00:00,-274.3802700148966,sl_hit,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 1.0, ""confidence"": 1.0, ""strategy"": ""squeeze"", ""atr"": 0.004688900328190474, ""slot"": ""XRP/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.4693}",2023-04-25 21:00:00+00:00,2023-04-26 21:00:00+00:00,-1.0,squeeze
XRP/USDT:USDT,long,0.46603289999999997,0.4784,0.45604551945255273,23051.14,2023-04-27T22:00:00+00:00,2023-04-29T23:00:00+00:00,282.89872799414985,max_hold,"{""trend"": 0.0, ""mean_rev"": 0.0, ""breakout"": 0.84, ""confidence"": 0.84, ""strategy"": ""squeeze"", ""atr"": 0.004877240273723627, ""slot"": ""XRP/USDT:USDT:squeeze"", ""entry_fee_rate"": 0.0001, ""intended_entry"": 0.4658}",2023-04-27 22:00:00+00:00,2023-04-29 23:00:00+00:00,1.2382726322730364,squeeze
LTC/USDT:USDT,short,90.83,87.81091917831993,92.64108627575288,128.738,2023-04-29T14:00:00+00:00,2023-04-30T22:00:00+00:00,387.5399666101301,tp_hit,"{""trend"": 0.0, ""mean_rev"": -0.72925605610973, ""breakout"": 0.0, ""confidence"": 0.72925605610973, ""strategy"": ""mean_rev"", ""atr"": 0.6036954252509636, ""slot"": ""LTC/USDT:USDT"", ""entry_fee_rate"": 0.0, ""intended_entry"": 90.83}",2023-04-29 14:00:00+00:00,2023-04-30 22:00:00+00:00,1.6670000000000023,mean_rev
