coin,entry_ts,exit_ts,direction,entry,exit,qty,pnl,reason,balance_after
BTC,2026-06-07T08:00:00+00:00,2026-06-09T09:00:00+00:00,SHORT,62824.8,62682.5,0.07958640536858055,9.33,max_hold,10009.33
ETH,2026-06-07T08:00:00+00:00,2026-06-09T09:00:00+00:00,SHORT,1640.64,1669.43,3.047591183928223,-89.76,max_hold,9910.24
SOL,2026-06-07T08:00:00+00:00,2026-06-09T09:00:00+00:00,SHORT,65.91,66.12,75.86102260658474,-17.93,max_hold,9982.07
BNB,2026-06-07T08:00:00+00:00,2026-06-09T09:00:00+00:00,SHORT,599.2,601.7,8.344459279038718,-22.87,max_hold,9977.13
XRP,2026-06-07T08:00:00+00:00,2026-06-09T09:00:00+00:00,SHORT,1.1548,1.1591,4329.754069968825,-20.62,max_hold,9979.38
BTC,2026-06-13T15:00:00+00:00,2026-06-15T15:00:00+00:00,SHORT,64265.0,65010.9465,0.07787541749407179,-60.1,sl,9949.22
ETH,2026-06-14T14:00:00+00:00,2026-06-15T15:00:00+00:00,LONG,1658.74,1696.3046,2.9872801951435037,110.21,tp,10020.45
SOL,2026-06-13T15:00:00+00:00,2026-06-15T15:00:00+00:00,SHORT,68.55,70.048,72.80865061334549,-111.09,sl,9870.98
BNB,2026-06-14T14:00:00+00:00,2026-06-15T15:00:00+00:00,LONG,606.0,618.7622,8.231959306578188,103.04,tp,10080.18
XRP,2026-06-14T14:00:00+00:00,2026-06-15T15:00:00+00:00,LONG,1.1312,1.1636,4410.969914210853,140.98,tp,10120.36
BNB,2026-06-15T15:00:00+00:00,2026-06-16T17:00:00+00:00,SHORT,630.9,609.5218,7.988727136156995,168.8,tp,10248.98
