coin,entry_ts,exit_ts,direction,entry,exit,qty,pnl,reason,balance_after
BTC,2026-06-14T14:00:00+00:00,2026-06-15T15:00:00+00:00,LONG,63953.7,65142.4433,0.07818155947193048,90.92,tp,10090.92
ETH,2026-06-14T14:00:00+00:00,2026-06-15T15:00:00+00:00,LONG,1658.74,1696.3046,3.014336182885805,111.21,tp,10111.21
SOL,2026-06-14T14:00:00+00:00,2026-06-15T15:00:00+00:00,LONG,67.23,69.6527,74.37156031533542,178.14,tp,10178.14
BNB,2026-06-14T14:00:00+00:00,2026-06-15T15:00:00+00:00,LONG,606.0,618.7622,8.250825082508252,103.28,tp,10103.28
XRP,2026-06-14T14:00:00+00:00,2026-06-15T15:00:00+00:00,LONG,1.1312,1.1636,4420.08486562942,141.27,tp,10141.27
ETH,2026-06-17T12:00:00+00:00,2026-06-18T19:00:00+00:00,LONG,1758.51,1712.7084,2.8749366292868554,-133.67,sl,9977.54
BNB,2026-06-17T19:00:00+00:00,2026-06-18T19:00:00+00:00,LONG,598.9,583.2048,8.434861719686916,-134.38,sl,9968.9
XRP,2026-06-17T19:00:00+00:00,2026-06-18T19:00:00+00:00,LONG,1.1806,1.1385,4294.965578859905,-182.92,sl,9958.35
BTC,2026-06-17T19:00:00+00:00,2026-06-19T11:00:00+00:00,LONG,64274.2,62502.9399,0.07849898730854021,-141.03,sl,9949.89
BTC,2026-06-21T21:00:00+00:00,2026-06-23T09:00:00+00:00,LONG,63778.2,62968.9119,0.07800382200480586,-65.1,sl,9884.78
ETH,2026-06-21T21:00:00+00:00,2026-06-23T09:00:00+00:00,LONG,1717.58,1686.8768,2.904533444447196,-91.16,sl,9886.38
XRP,2026-06-21T21:00:00+00:00,2026-06-23T09:00:00+00:00,LONG,1.1343,1.1128,4389.646694655238,-96.23,sl,9862.12
